school_name,group_id,xuanke_req,is_special,group_name,min_score,subject,source
南阳师范学院,02,不限,是,南阳师范学院02专业组(不限)(中外合作办学),502,物理,eol.cn 征求志愿
湖北第二师范学院,01,不限,否,湖北第二师范学院01专业组(不限),516,物理,eol.cn 征求志愿
湖南师范大学,01,不限,否,湖南师范大学01专业组(不限),589,物理,eol.cn 征求志愿
湖南工商大学,01,不限,否,湖南工商大学01专业组(不限),534,物理,eol.cn 征求志愿
长沙学院,01,不限,否,长沙学院01专业组(不限),531,物理,eol.cn 征求志愿
湖南财政经济学院,01,不限,否,湖南财政经济学院01专业组(不限),538,物理,eol.cn 征求志愿
湖南工业大学,02,不限,否,湖南工业大学02专业组(不限),533,物理,eol.cn 征求志愿
广东外语外贸大学,01,不限,否,广东外语外贸大学01专业组(不限),533,物理,eol.cn 征求志愿
南宁师范大学,01,不限,否,南宁师范大学01专业组(不限),528,物理,eol.cn 征求志愿
玉林师范学院,02,不限,否,玉林师范学院02专业组(不限),514,物理,eol.cn 征求志愿
广西艺术学院,01,不限,否,广西艺术学院01专业组(不限),503,物理,eol.cn 征求志愿
桂林旅游学院,01,不限,是,桂林旅游学院01专业组(不限)(中外合作办学),478,物理,eol.cn 征求志愿
海南师范大学,01,不限,是,海南师范大学01专业组(不限)(中外合作办学),478,物理,eol.cn 征求志愿
海南热带海洋学院,02,不限,否,海南热带海洋学院02专业组(不限),516,物理,eol.cn 征求志愿
西南大学,01,不限,否,西南大学01专业组(不限),602,物理,eol.cn 征求志愿
新疆农业大学,02,不限,否,新疆农业大学02专业组(不限),526,物理,eol.cn 征求志愿
新疆理工学院,01,不限,否,新疆理工学院01专业组(不限),510,物理,eol.cn 征求志愿
新疆政法学院,01,不限,否,新疆政法学院01专业组(不限),535,物理,eol.cn 征求志愿
上海兴伟学院,01,不限,否,上海兴伟学院01专业组(不限),478,物理,eol.cn 征求志愿
上海外国语大学贤达经济人文学院,01,不限,否,上海外国语大学贤达经济人文学院01专业组(不限),495,物理,eol.cn 征求志愿
上海师范大学天华学院,01,不限,否,上海师范大学天华学院01专业组(不限),478,物理,eol.cn 征求志愿
上海立达学院,01,不限,否,上海立达学院01专业组(不限),510,物理,eol.cn 征求志愿
上海中侨职业技术大学,01,不限,否,上海中侨职业技术大学01专业组(不限),478,物理,eol.cn 征求志愿
浙江万里学院,01,不限,否,浙江万里学院01专业组(不限),509,物理,eol.cn 征求志愿
浙江越秀外国语学院,01,不限,否,浙江越秀外国语学院01专业组(不限),485,物理,eol.cn 征求志愿
安徽外国语学院,01,不限,否,安徽外国语学院01专业组(不限),479,物理,eol.cn 征求志愿
厦门工学院,01,不限,否,厦门工学院01专业组(不限),482,物理,eol.cn 征求志愿
阳光学院,01,不限,否,阳光学院01专业组(不限),478,物理,eol.cn 征求志愿
江西科技学院,01,不限,否,江西科技学院01专业组(不限),488,物理,eol.cn 征求志愿
江西应用科技学院,01,不限,否,江西应用科技学院01专业组(不限),485,物理,eol.cn 征求志愿
江西服装学院,01,不限,否,江西服装学院01专业组(不限),478,物理,eol.cn 征求志愿
南昌工学院,01,不限,否,南昌工学院01专业组(不限),481,物理,eol.cn 征求志愿
南昌交通学院,01,不限,否,南昌交通学院01专业组(不限),479,物理,eol.cn 征求志愿
景德镇艺术职业大学,01,不限,否,景德镇艺术职业大学01专业组(不限),478,物理,eol.cn 征求志愿
江西财经大学现代经济管理学院,02,不限,否,江西财经大学现代经济管理学院02专业组(不限),512,物理,eol.cn 征求志愿
青岛滨海学院,01,不限,否,青岛滨海学院01专业组(不限),489,物理,eol.cn 征求志愿
烟台南山学院,01,不限,否,烟台南山学院01专业组(不限),503,物理,eol.cn 征求志愿
山东英才学院,01,不限,否,山东英才学院01专业组(不限),479,物理,eol.cn 征求志愿
青岛恒星科技学院,01,不限,否,青岛恒星科技学院01专业组(不限),484,物理,eol.cn 征求志愿
泰山科技学院,01,不限,否,泰山科技学院01专业组(不限),482,物理,eol.cn 征求志愿
青岛电影学院,01,不限,否,青岛电影学院01专业组(不限),479,物理,eol.cn 征求志愿
北京城市学院,01,不限,否,北京城市学院01专业组(不限),478,物理,eol.cn 征求志愿
首都师范大学科德学院,01,不限,否,首都师范大学科德学院01专业组(不限),478,物理,eol.cn 征求志愿
北京金融科技学院,01,不限,否,北京金融科技学院01专业组(不限),478,物理,eol.cn 征求志愿
北京邮电大学世纪学院,01,不限,否,北京邮电大学世纪学院01专业组(不限),502,物理,eol.cn 征求志愿
北京工业大学耿丹学院,01,不限,否,北京工业大学耿丹学院01专业组(不限),479,物理,eol.cn 征求志愿
北京第二外国语学院中瑞酒店管理学院,01,不限,否,北京第二外国语学院中瑞酒店管理学院01专业组(不限),478,物理,eol.cn 征求志愿
天津天狮学院,01,不限,否,天津天狮学院01专业组(不限),478,物理,eol.cn 征求志愿
天津传媒学院,01,不限,否,天津传媒学院01专业组(不限),482,物理,eol.cn 征求志愿
天津商业大学宝德学院,01,不限,否,天津商业大学宝德学院01专业组(不限),486,物理,eol.cn 征求志愿
天津仁爱学院,01,不限,否,天津仁爱学院01专业组(不限),478,物理,eol.cn 征求志愿
河北传媒学院,01,不限,否,河北传媒学院01专业组(不限),478,物理,eol.cn 征求志愿
河北科技学院,01,不限,否,河北科技学院01专业组(不限),487,物理,eol.cn 征求志愿
河北外国语学院,01,不限,否,河北外国语学院01专业组(不限),478,物理,eol.cn 征求志愿
华北理工大学轻工学院,01,不限,否,华北理工大学轻工学院01专业组(不限),502,物理,eol.cn 征求志愿
河北地质大学华信学院,01,不限,否,河北地质大学华信学院01专业组(不限),496,物理,eol.cn 征求志愿
保定理工学院,01,不限,否,保定理工学院01专业组(不限),506,物理,eol.cn 征求志愿
燕京理工学院,01,不限,否,燕京理工学院01专业组(不限),487,物理,eol.cn 征求志愿
沧州交通学院,01,不限,否,沧州交通学院01专业组(不限),482,物理,eol.cn 征求志愿
山西应用科技学院,01,不限,否,山西应用科技学院01专业组(不限),503,物理,eol.cn 征求志愿
晋中信息学院,02,生物,否,晋中信息学院02专业组(生物),491,物理,eol.cn 征求志愿
山西晋中理工学院,01,不限,否,山西晋中理工学院01专业组(不限),499,物理,eol.cn 征求志愿
辽宁对外经贸学院,01,不限,否,辽宁对外经贸学院01专业组(不限),478,物理,eol.cn 征求志愿
大连理工大学城市学院,01,不限,否,大连理工大学城市学院01专业组(不限),482,物理,eol.cn 征求志愿
大连科技学院,01,不限,否,大连科技学院01专业组(不限),480,物理,eol.cn 征求志愿
沈阳城市建设学院,01,不限,否,沈阳城市建设学院01专业组(不限),478,物理,eol.cn 征求志愿
大连医科大学中山学院,01,不限,否,大连医科大学中山学院01专业组(不限),480,物理,eol.cn 征求志愿
大连财经学院,01,不限,否,大连财经学院01专业组(不限),487,物理,eol.cn 征求志愿
沈阳城市学院,01,不限,否,沈阳城市学院01专业组(不限),478,物理,eol.cn 征求志愿
吉林外国语大学,01,不限,是,吉林外国语大学01专业组(不限)(中外合作办学),478,物理,eol.cn 征求志愿
长春光华学院,01,不限,否,长春光华学院01专业组(不限),495,物理,eol.cn 征求志愿
长春工业大学人文信息学院,01,不限,否,长春工业大学人文信息学院01专业组(不限),482,物理,eol.cn 征求志愿
长春电子科技学院,01,不限,否,长春电子科技学院01专业组(不限),501,物理,eol.cn 征求志愿
长春财经学院,01,不限,否,长春财经学院01专业组(不限),478,物理,eol.cn 征求志愿
吉林建筑科技学院,01,不限,否,吉林建筑科技学院01专业组(不限),483,物理,eol.cn 征求志愿
长春科技学院,01,不限,否,长春科技学院01专业组(不限),478,物理,eol.cn 征求志愿
吉林师范大学博达学院,01,不限,否,吉林师范大学博达学院01专业组(不限),478,物理,eol.cn 征求志愿
长春大学旅游学院,01,不限,否,长春大学旅游学院01专业组(不限),478,物理,eol.cn 征求志愿
长春人文学院,01,不限,否,长春人文学院01专业组(不限),478,物理,eol.cn 征求志愿
黑龙江东方学院,01,不限,否,黑龙江东方学院01专业组(不限),478,物理,eol.cn 征求志愿
黑龙江财经学院,01,不限,否,黑龙江财经学院01专业组(不限),478,物理,eol.cn 征求志愿
哈尔滨石油学院,01,不限,否,哈尔滨石油学院01专业组(不限),478,物理,eol.cn 征求志愿
哈尔滨华德学院,01,不限,否,哈尔滨华德学院01专业组(不限),478,物理,eol.cn 征求志愿
郑州西亚斯学院,01,不限,是,郑州西亚斯学院01专业组(不限)(中外合作办学),478,物理,eol.cn 征求志愿
武汉东湖学院,01,不限,否,武汉东湖学院01专业组(不限),478,物理,eol.cn 征求志愿
汉口学院,01,不限,否,汉口学院01专业组(不限),478,物理,eol.cn 征求志愿
武汉晴川学院,01,不限,否,武汉晴川学院01专业组(不限),503,物理,eol.cn 征求志愿
湖北大学知行学院,02,不限,否,湖北大学知行学院02专业组(不限),482,物理,eol.cn 征求志愿
武汉工程大学邮电与信息工程学院,01,不限,否,武汉工程大学邮电与信息工程学院01专业组(不限),492,物理,eol.cn 征求志愿
武汉纺织大学外经贸学院,01,不限,否,武汉纺织大学外经贸学院01专业组(不限),487,物理,eol.cn 征求志愿
武昌工学院,01,不限,否,武昌工学院01专业组(不限),483,物理,eol.cn 征求志愿
武汉体育学院体育科技学院,01,不限,否,武汉体育学院体育科技学院01专业组(不限),478,物理,eol.cn 征求志愿
湖北文理学院理工学院,01,不限,否,湖北文理学院理工学院01专业组(不限),507,物理,eol.cn 征求志愿
武汉工程科技学院,01,不限,否,武汉工程科技学院01专业组(不限),494,物理,eol.cn 征求志愿
