year,subject,school_name,group_id,group_code,min_score,min_rank,xuanke_req,is_special
2024,物理,中国民航大学,05,A05905,567,36659,化学,否
2024,物理,中国民航大学,06,A05906,563,39348,化学,是
2024,物理,华北电力大学（保定,03,A06903,600,17613,不限,是
2024,物理,大连理工大学,02,A07102,616,11058,不限,是
2024,物理,大连理工大学,03,A07103,637,5099,化学,否
2024,物理,大连理工大学,04,A07104,626,7910,化学,否
2024,物理,大连理工大学,05,A07105,622,9067,化学,否
2024,物理,大连理工大学,06,A07106,614,11756,化学,是
2024,物理,东北大学,02,A07302,615,11395,不限,否
2024,物理,东北大学,03,A07303,627,7659,化学,否
2024,物理,东北大学,04,A07304,606,14934,化学,否
2024,物理,东北大学,05,A07305,605,15356,化学,是
2024,物理,大连海事大学,04,A07504,593,20986,不限,否
2024,物理,大连海事大学,05,A07505,595,20005,不限,否
2024,物理,大连海事大学,06,A07506,588,23596,不限,是
2024,物理,大连海事大学,07,A07507,601,17139,化学,否
2024,物理,大连海事大学,08,A07508,589,23071,化学,否
2024,物理,大连海事大学,09,A07509,584,25792,化学,是
2024,物理,吉林大学,06,A07906,628,7356,不限,否
2024,物理,吉林大学,07,A07907,621,9357,不限,否
2024,物理,吉林大学,08,A07908,609,13728,不限,是
2024,物理,吉林大学,09,A07909,613,12158,化学,否
2024,物理,吉林大学,10,A07910,633,5982,化学,否
2024,物理,吉林大学,11,A07911,623,8760,化学,否
2024,物理,吉林大学,12,A07912,631,6509,化学,否
2024,物理,吉林大学,13,A07913,630,6777,化学,否
2024,物理,吉林大学,14,A07914,601,17139,化学,是
2024,物理,东北师范大学,11,A08111,597,19063,不限,否
2024,物理,东北师范大学,12,A08112,591,21997,不限,是
2024,物理,东北师范大学,13,A08113,612,12536,化学,否
2024,物理,东北师范大学,14,A08114,600,17613,化学,否
2024,物理,东北师范大学,15,A08115,598,18563,化学,是
2024,物理,哈尔滨工业大学,02,A08302,632,6243,不限,否
2024,物理,哈尔滨工业大学,03,A08303,615,11395,不限,否
2024,物理,哈尔滨工业大学,04,A08304,662,1314,化学,否
2024,物理,哈尔滨工业大学,05,A08305,629,7056,化学,否
2024,物理,哈尔滨工业大学,06,A08306,618,10372,化&gt;,否
2024,物理,哈尔滨工业大学,07,A08307,628,7356,不限,是
2024,物理,哈尔滨工业大学,08,A08308,632,6243,不限,是
2024,物理,哈尔滨工程大学,03,A08503,602,16685,不限,是
2024,物理,哈尔滨工程大学,04,A08504,630,6777,化学,否
2024,物理,哈尔滨工程大学,05,A08505,630,6777,化学,否
2024,物理,哈尔滨工程大学,06,A08506,630,6777,不限,否
2024,物理,哈尔滨工程大学,07,A08507,616,11058,化学,否
2024,物理,哈尔滨工程大学,08,A08508,584,25792,化学,否
2024,物理,哈尔滨工程大学第09,09,A08509,608,14116,化学,否
2024,物理,东北林业大学,03,A08703,583,26392,不限,否
2024,物理,东北林业大学,04,A08704,590,22473,化学,否
2024,物理,复大学第0,04,A08904,677,412,不限,否
2024,物理,复旦大学,05,A08905,686,159,化学,否
2024,物理,复旦大学,06,A08906,688,128,化学,否
2024,物理,复旦大学,07,A08907,685,173,化学,否
2024,物理,复旦大学,08,A08908,680,300,化学,否
2024,物理,复旦大学,09,A08909,678,372,化学,否
2024,物理,复旦大学,10,A08910,675,488,化学,否
2024,物理,复旦大学,11,A08911,672,618,化学,是
2024,物理,同济大学,04,A09104,655,2080,化学,否
2024,物理,同济大学,05,A09105,643,3901,化学,否
2024,物理,同济大学,06,A09106,642,4085,化学,否
2024,物理,同济大学,07,A09107,641,4287,化学,否
2024,物理,同济大学,08,A09108,622,9067,化学,是
2024,物理,上海交通大学,03,A09303,689,115,化学,否
2024,物理,上海交通大学,04,A09304,677,412,化学,否
2024,物理,上海交通大学,05,A09305,664,1136,化学,是
2024,物理,华东理工大学,03,A09503,615,11395,化学,否
2024,物理,华东理工大学,04,A09504,609,13728,化学,是
2024,物理,华东理工大学,05,A09505,618,10372,化学,是
2024,物理,东华大学,03,A09703,605,15356,化学,否
2024,物理,东华大学,04,A09704,610,13315,化学,否
2024,物理,东华大学,05,A09705,588,23596,化学,是
2024,物理,华东师范大学,05,A09905,636,5326,不限,否
2024,物理,华东师范大学,06,A09906,632,6243,化学,否
2024,物理,上海外国语大学,04,A10104,599,18084,不限,否
2024,物理,上海外国语大学,05,A10105,593,20986,不限,是
2024,物理,上海财经大学,02,A10302,625,8215,不限,否
2024,物理,上海财经大学,03,A10303,600,17613,不限,是
2024,物理,上海财经大学,04,A10304,632,6243,化学,否
2024,物理,南京大学,03,A10703,671,671,化学,否
2024,物理,南京大学,05,A10705,647,3218,化学,是
2024,物理,东南大学,02,A10902,643,3901,不限,否
2024,物理,东南大学,03,A10903,617,10680,化学,是
