year,subject,school_name,school_type,group_id,group_code,xuanke_req,xuanke_subjects,plan_count,min_score,min_rank,tuition_yuan,city,is_special,data_source
,物理,哈尔滨工业大学(深圳）,985,203,203组,不限,不限,0,662,1730,5500,其他,否,gk100 真实
,物理,南方科技大学,普通,201,201组,不限,不限,0,652,3232,5500,其他,否,gk100 真实
,物理,中山大学,985,216,216组,不限,不限,0,651,3575,5500,广州,否,gk100 真实
,物理,南方医科大学,普通,201,201组,不限,不限,0,650,3606,5500,其他,否,gk100 真实
,物理,中山大学,985,215,215组,不限,不限,0,647,4264,5500,广州,否,gk100 真实
,物理,哈尔滨工业大学(深圳),985,204,204组（中外合作）,不限,不限,0,646,4592,5500,其他,否,gk100 真实
,物理,中山大学,985,214,214组,不限,不限,0,642,5517,5500,广州,否,gk100 真实
,物理,华南理工大学,985,212,212组,不限,不限,0,640,6278,5500,广州,否,gk100 真实
,物理,中山大学,985,217,217组,不限,不限,0,639,6467,5500,广州,否,gk100 真实
,物理,中山大学,985,218,218组,不限,不限,0,633,8536,5500,广州,否,gk100 真实
,物理,广州医科大学,普通,201,201组,不限,不限,0,633,8669,5500,其他,否,gk100 真实
,物理,中山大学,985,212,212组,不限,不限,0,631,9390,5500,广州,否,gk100 真实
,物理,中山大学,985,213,213组,不限,不限,0,629,9936,5500,广州,否,gk100 真实
,物理,深圳理工大学,普通,201,201组,不限,不限,0,629,10163,5500,其他,否,gk100 真实
,物理,中山大学,985,219,219组,不限,不限,0,628,10616,5500,广州,否,gk100 真实
,物理,华南理工大学,985,213,213组,不限,不限,0,627,10764,5500,广州,否,gk100 真实
,物理,华南理工大学,985,214,214组,不限,不限,0,625,11609,5500,广州,否,gk100 真实
,物理,北京师范大学(珠海校区),985,210,210组,不限,不限,0,625,11765,5500,北京,否,gk100 真实
,物理,深圳大学,普通,233,233组,不限,不限,0,625,11801,5500,其他,否,gk100 真实
,物理,深圳大学,普通,230,230组,不限,不限,0,622,12952,5500,其他,否,gk100 真实
,物理,华南理工大学,985,215,215组,不限,不限,0,622,12953,5500,广州,否,gk100 真实
,物理,华南理工大学,985,216,216组,不限,不限,0,622,13222,5500,广州,否,gk100 真实
,物理,大湾区大学,普通,201,201组,不限,不限,0,622,13266,5500,其他,否,gk100 真实
,物理,北京师范大学(珠海校区),985,211,211组,不限,不限,0,621,13642,5500,北京,否,gk100 真实
,物理,华南师范大学,211,219,219组,不限,不限,0,621,13782,5500,广州,否,gk100 真实
,物理,广州医科大学,普通,202,202组,不限,不限,0,620,14066,5500,其他,否,gk100 真实
,物理,南方科技大学,普通,202,202组(中外合作）,不限,不限,0,619,14438,5500,其他,否,gk100 真实
,物理,深圳大学,普通,223,223组,不限,不限,0,618,15345,5500,其他,否,gk100 真实
,物理,香港城市大学(东莞),普通,201,201组(内地香港合作办学),不限,不限,0,616,16184,5500,其他,否,gk100 真实
,物理,深圳大学,普通,225,225组,不限,不限,0,616,16350,5500,其他,否,gk100 真实
,物理,深圳大学,普通,226,226组,不限,不限,0,616,16448,5500,其他,否,gk100 真实
,物理,深圳大学,普通,240,240组,不限,不限,0,615,16789,5500,其他,否,gk100 真实
,物理,深圳大学,普通,241,241组,不限,不限,0,613,17973,5500,其他,否,gk100 真实
,物理,暨南大学,211,222,222组,不限,不限,0,613,17976,5500,广州,否,gk100 真实
,物理,华南师范大学,211,236,236组,不限,不限,0,612,18213,5500,广州,否,gk100 真实
,物理,华南师范大学,211,220,220组,不限,不限,0,612,18497,5500,广州,否,gk100 真实
,物理,华南师范大学,211,237,237组,不限,不限,0,611,18930,5500,广州,否,gk100 真实
,物理,深圳大学,普通,229,229组,不限,不限,0,611,19333,5500,其他,否,gk100 真实
,物理,华南师范大学,211,221,221组,不限,不限,0,610,19563,5500,广州,否,gk100 真实
,物理,华南师范大学,211,227,227组,不限,不限,0,610,19847,5500,广州,否,gk100 真实
,物理,深圳大学,普通,236,236组,不限,不限,0,609,20302,5500,其他,否,gk100 真实
,物理,深圳大学,普通,221,221组,不限,不限,0,608,20755,5500,其他,否,gk100 真实
,物理,华南师范大学,211,226,226组,不限,不限,0,607,21387,5500,广州,否,gk100 真实
