year,subject,school_name,school_type,group_id,group_code,xuanke_req,xuanke_subjects,plan_count,min_score,min_rank,tuition_yuan,city,is_special,data_source
,历史,惠州学院,普通,201,201组,不限,不限,0,547,25437,5500,其他,否,gk100 真实
,历史,广州大学,普通,248,248组(地方专项),不限,不限,0,547,25444,5500,其他,否,gk100 真实
,历史,广东药科大学,普通,214,214组,不限,不限,0,547,25604,5500,其他,否,gk100 真实
,历史,广东海洋大学,普通,232,232组(地方专项),不限,不限,0,547,25798,5500,其他,否,gk100 真实
,历史,星海音乐学院,普通,201,201组,不限,不限,0,547,25922,5500,其他,否,gk100 真实
,历史,广东金融学院,普通,213,213组,不限,不限,0,547,25934,5500,其他,否,gk100 真实
,历史,广东海洋大学,普通,233,233组(地方专项）,不限,不限,0,546,26009,5500,其他,否,gk100 真实
,历史,广东金融学院,普通,231,231组(地方专项),不限,不限,0,545,26703,5500,其他,否,gk100 真实
,历史,广东技术师范大学,普通,239,239组,不限,不限,0,545,27066,5500,其他,否,gk100 真实
,历史,惠州学院,普通,203,203组,不限,不限,0,544,27090,5500,其他,否,gk100 真实
,历史,东莞理工学院,普通,206,206组,不限,不限,0,544,27371,5500,其他,否,gk100 真实
,历史,惠州学院,普通,206,206组,不限,不限,0,544,27386,5500,其他,否,gk100 真实
,历史,五邑大学,普通,213,213组,不限,不限,0,544,27418,5500,其他,否,gk100 真实
,历史,广东财经大学,普通,214,214组(联合培养）,不限,不限,0,544,27434,5500,其他,否,gk100 真实
,历史,广州中医药大学,普通,219,219组(地方专项）,不限,不限,0,543,27751,5500,其他,否,gk100 真实
,历史,广州大学,普通,236,236组(国际班）,不限,不限,0,543,28098,5500,其他,否,gk100 真实
,历史,广东工业大学,普通,266,266组（学分互认）,不限,不限,0,542,28400,5500,其他,否,gk100 真实
,历史,广东海洋大学,普通,228,228组,不限,不限,0,542,28710,5500,其他,否,gk100 真实
,历史,广东海洋大学,普通,231,231组,不限,不限,0,541,28978,5500,其他,否,gk100 真实
,历史,广东第二师范学院,普通,213,213组,不限,不限,0,541,28995,5500,其他,否,gk100 真实
,历史,惠州学院,普通,209,209组,不限,不限,0,541,29211,5500,其他,否,gk100 真实
,历史,岭南师范学院,普通,201,201组,不限,不限,0,539,30473,5500,其他,否,gk100 真实
,历史,广东海洋大学,普通,229,229组,不限,不限,0,538,30702,5500,其他,否,gk100 真实
,历史,广东金融学院,普通,214,214组,不限,不限,0,538,30739,5500,其他,否,gk100 真实
,历史,惠州学院,普通,208,208组,不限,不限,0,538,30841,5500,其他,否,gk100 真实
,历史,惠州学院,普通,205,205组,不限,不限,0,538,30989,5500,其他,否,gk100 真实
,历史,惠州学院,普通,202,202组,不限,不限,0,537,31567,5500,其他,否,gk100 真实
,历史,韩山师范学院,普通,201,201组,不限,不限,0,537,31575,5500,其他,否,gk100 真实
,历史,仲恺农业工程学院,普通,208,208组,不限,不限,0,537,31718,5500,其他,否,gk100 真实
,历史,广州美术学院,普通,203,203组,不限,不限,0,536,32132,5500,其他,否,gk100 真实
,历史,广州航海学院,普通,211,211组,不限,不限,0,536,32201,5500,其他,否,gk100 真实
,历史,广东海洋大学,普通,230,230组,不限,不限,0,536,32208,5500,其他,否,gk100 真实
,历史,佛山大学,普通,226,226组(地方专项）,不限,不限,0,536,32246,5500,其他,否,gk100 真实
,历史,仲恺农业工程学院,普通,209,209组,不限,不限,0,536,32292,5500,其他,否,gk100 真实
,历史,五邑大学,普通,212,212组,不限,不限,0,536,32320,5500,其他,否,gk100 真实
,历史,佛山大学,普通,225,225组(地方专项),不限,不限,0,536,32428,5500,其他,否,gk100 真实
,历史,广东医科大学,普通,212,212组,不限,不限,0,535,32660,5500,其他,否,gk100 真实
,历史,肇庆学院,普通,203,203组,不限,不限,0,535,32903,5500,其他,否,gk100 真实
,历史,东莞理工学院,普通,214,214组(粤台联合),不限,不限,0,534,33669,5500,其他,否,gk100 真实
,历史,广东第二师范学院,普通,216,216组,不限,不限,0,534,33769,5500,其他,否,gk100 真实
,历史,肇庆学院,普通,209,209组,不限,不限,0,533,34015,5500,其他,否,gk100 真实
,历史,惠州学院,普通,210,210组,不限,不限,0,533,34065,5500,其他,否,gk100 真实
,历史,东莞理工学院,普通,207,207组,不限,不限,0,533,34093,5500,其他,否,gk100 真实
,历史,广州航海学院,普通,213,213组(联合培养),不限,不限,0,532,34449,5500,其他,否,gk100 真实
,历史,韶关学院,普通,219,219组,不限,不限,0,532,34642,5500,其他,否,gk100 真实
,历史,惠州学院,普通,207,207组,不限,不限,0,532,35000,5500,其他,否,gk100 真实
,历史,惠州学院,普通,212,212组,不限,不限,0,531,35143,5500,其他,否,gk100 真实
,历史,广州大学,普通,237,237组（国际班）,不限,不限,0,531,35323,5500,其他,否,gk100 真实
,历史,岭南师范学院,普通,206,206组,不限,不限,0,531,35462,5500,其他,否,gk100 真实
,历史,广东工业大学,普通,264,264组(学分互认),不限,不限,0,531,35564,5500,其他,否,gk100 真实
,历史,广州体育学院,普通,201,201组,不限,不限,0,531,35646,5500,其他,否,gk100 真实
,历史,广东金融学院,普通,215,215组,不限,不限,0,530,35891,5500,其他,否,gk100 真实
,历史,岭南师范学院,普通,202,202组,不限,不限,0,530,35914,5500,其他,否,gk100 真实
,历史,韩山师范学院,普通,202,202组,不限,不限,0,530,36202,5500,其他,否,gk100 真实
,历史,惠州学院,普通,211,211组,不限,不限,0,529,36367,5500,其他,否,gk100 真实
,历史,肇庆学院,普通,201,201组,不限,不限,0,529,36427,5500,其他,否,gk100 真实
,历史,华南农业大学,普通,209,209组（国际班）,不限,不限,0,529,36448,5500,其他,否,gk100 真实
,历史,肇庆学院,普通,210,210组,不限,不限,0,529,36457,5500,其他,否,gk100 真实
,历史,嘉应学院,普通,224,224组,不限,不限,0,528,37036,5500,其他,否,gk100 真实
,历史,肇庆学院,普通,205,205组,不限,不限,0,528,37078,5500,其他,否,gk100 真实
,历史,韩山师范学院,普通,208,208组,不限,不限,0,528,37290,5500,其他,否,gk100 真实
,历史,韶关学院,普通,211,211组,不限,不限,0,527,37744,5500,其他,否,gk100 真实
,历史,广东药科大学,普通,210,210组,不限,不限,0,527,37843,5500,其他,否,gk100 真实
,历史,广东石油化工学院,普通,209,209组,不限,不限,0,526,38430,5500,其他,否,gk100 真实
,历史,广东工业大学,普通,261,261组（国际班）,不限,不限,0,526,38570,5500,其他,否,gk100 真实
,历史,广东第二师范学院,普通,231,231组(学分互认),不限,不限,0,525,39143,5500,其他,否,gk100 真实
,历史,岭南师范学院,普通,205,205组,不限,不限,0,525,39195,5500,其他,否,gk100 真实
,历史,岭南师范学院,普通,203,203组,不限,不限,0,525,39457,5500,其他,否,gk100 真实
,历史,肇庆学院,普通,204,204组,不限,不限,0,524,39906,5500,其他,否,gk100 真实
,历史,韶关学院,普通,212,212组,不限,不限,0,524,40315,5500,其他,否,gk100 真实
,历史,岭南师范学院,普通,204,204组,不限,不限,0,524,40338,5500,其他,否,gk100 真实
,历史,广东石油化工学院,普通,212,212组,不限,不限,0,523,40401,5500,其他,否,gk100 真实
,历史,韶关学院,普通,218,218组,不限,不限,0,523,40625,5500,其他,否,gk100 真实
,历史,肇庆学院,普通,208,208组,不限,不限,0,523,40635,5500,其他,否,gk100 真实
,历史,嘉应学院,普通,226,226组,不限,不限,0,523,40638,5500,其他,否,gk100 真实
