year,subject,school_name,batch,kind,min_score,min_rank,group_id,group_name,xuanke_req
2024,历史,武汉民政职业学院,高职高专批,普通类,326,92621,03,第03组,不限
2024,历史,三峡旅游职业技术学院,高职高专批,普通类,335,88481,01,第01组,不限
2024,历史,武汉航海职业技术学院,高职高专批,普通类,355,78992,03,第03组,不限
2024,历史,湖北恩施学院,本科批,普通类,455,36545,432,,（01）
2024,历史,湖北医药学院,本科批,普通类,487,25815,432,,（01）
2024,历史,武汉电力职业技术学院,高职高专批,普通类,388,63723,01,第01组,不限
2024,历史,武汉电力职业技术学院,高职高专批,普通类,417,51225,02,第02组,不限
2024,历史,江汉艺术职业学院,高职高专批,普通类,324,93554,01,第01组,不限
2024,历史,武昌理工学院,高职高专批,普通类,314,97979,04,第04组,不限
2024,历史,荆楚理工学院,本科批,普通类,491,24614,432,,（02）
2024,历史,仙桃职业学院,高职高专批,乡村振兴,310,99648,01,第01组,不限
2024,历史,仙桃职业学院,高职高专批,普通类,333,89432,02,第02组,不限
2024,历史,武汉纺织大学外经贸学院,高职高专批,普通类,302,102838,05,第05组,不限
2024,历史,长江工程职业技术学院,高职高专批,乡村振兴,332,89924,01,第01组,不限
2024,历史,长江工程职业技术学院,高职高专批,普通类,385,65108,02,第02组,不限
2024,历史,长江工程职业技术学院,高职高专批,普通类,364,74791,03,第03组,不限
2024,历史,长江工程职业技术学院,高职高专批,专本联合培养,422,49169,04,第04组,不限
2024,历史,长江工程职业技术学院,高职高专批,专本联合培养,427,47191,05,第05组,不限
2024,历史,湖北生态工程职业技术学院,高职高专批,乡村振兴,316,97098,01,第01组,不限
2024,历史,湖北生态工程职业技术学院,高职高专批,普通类,376,69195,02,第02组,不限
2024,历史,湖北生态工程职业技术学院,高职高专批,普通类,355,78992,03,第03组,不限
2024,历史,湖北生态工程职业技术学院,高职高专批,普通类,305,101628,04,第04组,不限
2024,历史,湖北生态工程职业技术学院,高职高专批,专本联合培养,422,49169,05,第05组,不限
2024,历史,湖北生态工程职业技术学院,高职高专批,专本联合培养,422,49169,06,第06组,不限
2024,历史,湖北生态工程职业技术学院,高职高专批,专本联合培养,422,49169,07,第07组,不限
2024,历史,湖北生态工程职业技术学院,高职高专批,专本联合培养,422,49169,08,第08组,不限
2024,历史,湖北工程职业学院,高职高专批,普通类,343,84739,01,第01组,不限
2024,历史,湖北工程职业学院,高职高专批,普通类,347,82851,02,第02组,不限
2024,历史,湖北工程职业学院,高职高专批,普通类,335,88481,03,第03组,不限
2024,历史,湖北工程职业学院,高职高专批,普通类,362,75755,04,第04组,不限
2024,历史,湖北工程职业学院,高职高专批,普通类,309,100064,05,第05组,不限
2024,历史,湖北经济学院法商学院,本科批,普通类,462,34098,432,,（01）
2024,历史,武昌首义学院,高职高专批,普通类,278,111175,04,第04组,不限
2024,历史,湖北开放职业学院,高职高专批,普通类,264,114895,01,第01组,不限
2024,历史,文华学院,高职高专批,普通类,258,116236,04,第04组,不限
2024,历史,湖北师范大学,本科批,普通类,528,14431,01,第01组,不限
2024,历史,湖北师范大学,本科批,地方专项计划,520,16486,02,第02组,不限
2024,历史,湖北师范大学,本科批,普通类,537,12230,03,第03组,政
2024,历史,湖北师范大学,本科批,普通类,531,13646,04,第04组,地
2024,历史,湖北艺术职业学院,高职高专批,普通类,329,91293,01,第01组,不限
2024,历史,荆州职业技术学院,高职高专批,普通类,359,77147,01,第01组,不限
2024,历史,荆州职业技术学院,高职高专批,专本联合培养,430,46023,02,第02组,不限
2024,历史,襄阳职业技术学院,高职高专批,普通类,432,45225,01,第01组,不限
2024,历史,襄阳职业技术学院,高职高专批,普通类,413,52819,02,第02组,不限
2024,历史,襄阳职业技术学院,高职高专批,普通类,417,51225,03,第03组,不限
2024,历史,襄阳职业技术学院,高职高专批,普通类,413,52819,04,第04组,不限
2024,历史,襄阳职业技术学院,高职高专批,普通类,412,53259,05,第05组,不限
2024,历史,襄阳职业技术学院,高职高专批,普通类,402,57483,06,第06组,不限
2024,历史,襄阳职业技术学院,高职高专批,专本联合培养,422,49169,07,第07组,不限
2024,历史,襄阳职业技术学院,高职高专批,专本联合培养,425,48011,08,第08组,不限
2024,历史,襄阳职业技术学院,高职高专批,专本联合培养,431,45621,09,第09组,不限
2024,历史,襄阳职业技术学院,高职高专批,专本联合培养,432,45225,10,第10组,不限
2024,历史,武汉传媒学院,本科批,普通类,441,41808,432,,（01）
2024,历史,湖北财税职业学院,高职高专批,普通类,383,66018,01,第01组,不限
2024,历史,湖北财税职业学院,高职高专批,普通类,347,82851,02,第02组,不限
2024,历史,湖北财税职业学院,高职高专批,专本联合培养,423,48762,03,第03组,不限
2024,历史,湖北财税职业学院,高职高专批,专本联合培养,422,49169,04,第04组,不限
2024,历史,湖北财税职业学院,高职高专批,专本联合培养,422,49169,05,第05组,不限
2024,历史,湖北民族大学,本科批,普通类,507,19911,01,第01组,不限
2024,历史,湖北民族大学,本科批,少数民族预科班,492,24328,02,第02组,不限
2024,历史,湖北民族大学,本科批,地方专项计划,513,18274,03,第03组,政
2024,历史,湖北民族大学,本科批,地方专项计划,506,20200,07,第07组,地
2024,历史,湖北民族大学,本科批,地方专项计划,484,26733,08,第08组,生
2024,历史,湖北民族大学,本科批,民族班,497,22848,18,第18组,不限
2024,历史,湖北民族大学,本科批,普通类,451,38019,20,第20组,不限
2024,历史,湖北孝感美珈职业学院,高职高专批,普通类,229,120947,01,第01组,不限
2024,历史,江汉大学,本科批,普通类,546,10229,432,,（02）
2024,历史,黄冈职业技术学院,高职高专批,乡村振兴,313,98397,01,第01组,不限
2024,历史,黄冈职业技术学院,高职高专批,普通类,358,77577,02,第02组,不限
2024,历史,黄冈职业技术学院,高职高专批,普通类,305,101628,03,第03组,不限
2024,历史,黄冈职业技术学院,高职高专批,专本联合培养,422,49169,04,第04组,不限
2024,历史,黄冈职业技术学院,高职高专批,专本联合培养,422,49169,05,第05组,不限
