year,subject,school_name,school_type,group_id,group_code,xuanke_req,xuanke_subjects,plan_count,min_score,min_rank,tuition_yuan,city,is_special,data_source
,,海南师范大学,普通,05,5,思想政治,历史,30,540,23000,5500,其他,否,jseea 官方
,,海南热带海洋学院,普通,02,2,不限,历史,30,509,47750,5500,其他,否,jseea 官方
,,重庆邮电大学,普通,01,1,不限,历史,30,551,21419,5500,其他,否,jseea 官方
,,四川外国语大学,普通,05,5,思想政治,历史,30,563,14678,5500,其他,否,jseea 官方
,,四川外国语大学,普通,02,2,不限,历史,30,545,22281,5500,其他,否,jseea 官方
,,四川美术学院,普通,01,1,不限,历史,30,502,49500,5500,其他,否,jseea 官方
,,重庆师范大学,普通,03,3,地理,历史|地理,30,564,14571,5500,其他,否,jseea 官方
,,重庆师范大学,普通,02,2,不限,历史,30,519,45250,5500,其他,否,jseea 官方
,,重庆师范大学,普通,01,1,不限,历史,30,547,21993,5500,其他,否,jseea 官方
,,重庆理工大学,普通,01,1,不限,历史,30,543,22568,5500,其他,否,jseea 官方
,,攀枝花学院,普通,01,1,不限,历史,30,520,45000,5500,其他,否,jseea 官方
,,重庆交通大学,普通,01,1,不限,历史,30,545,22281,5500,其他,否,jseea 官方
,,重庆工商大学,普通,01,1,不限,历史,30,547,21993,5500,其他,否,jseea 官方
,,西南政法大学,普通,02,2,不限,历史,30,604,2400,5500,其他,否,jseea 官方
,,西南大学,211,02,2,地理,历史|地理,30,596,6934,5500,其他,否,jseea 官方
,,西南大学,211,01,1,不限,历史,30,588,7467,5500,其他,否,jseea 官方
,,重庆大学,985,03,3,不限,历史,30,620,600,5500,其他,否,jseea 官方
,,重庆三峡学院,普通,01,1,不限,历史,30,516,46000,5500,其他,否,jseea 官方
,,长江师范学院,普通,01,1,不限,历史,30,526,29828,5500,其他,否,jseea 官方
,,长江师范学院,普通,02,2,生物,历史|生物,30,507,48250,5500,其他,否,jseea 官方
,,重庆科技大学,普通,01,1,不限,历史,30,533,28628,5500,其他,否,jseea 官方
