school_name,group_code,min_score,min_rank,subject,xuanke_req,is_special,year,plan_count
韶关学院,216组(学分互认),517,44951,历史,不限,否,2025,0
韶关学院,217组（学分互认）,517,45039,历史,不限,否,2025,0
广州航海学院,212组（联合培养）,516,45432,历史,不限,否,2025,0
广东技术师范大学,246组（国际班）,513,47743,历史,不限,否,2025,0
嘉应学院,231组(联合培养),513,47835,历史,不限,否,2025,0
珠海科技学院,207组,513,48067,历史,不限,否,2025,0
肇庆学院,202组(联合培养）,513,48107,历史,不限,否,2025,0
肇庆学院,206组（联合培养）,512,48338,历史,不限,否,2025,0
嘉应学院,232组（联合培养）,512,48345,历史,不限,否,2025,0
广东技术师范大学,247组（国际班）,512,48476,历史,不限,否,2025,0
肇庆医学院,205组,507,52014,历史,不限,否,2025,0
广州城市理工学院,204组,507,52460,历史,不限,否,2025,0
惠州学院,213组（联合培养）,504,54539,历史,不限,否,2025,0
广东第二师范学院,234组(学分互认）,504,54859,历史,不限,否,2025,0
广东第二师范学院,234组(学分互认),504,54859,历史,不限,否,2025,0
广州新华学院,201组,504,55151,历史,不限,否,2025,0
广州新华学院,202组,503,55335,历史,不限,否,2025,0
韩山师范学院,212组(联合培养）,502,56071,历史,不限,否,2025,0
电子科技大学中山学院,205组,501,57314,历史,不限,否,2025,0
电子科技大学中山学院,209组,501,57328,历史,不限,否,2025,0
广东白云学院,218组,498,59979,历史,不限,否,2025,0
广东白云学院,219组,495,62344,历史,不限,否,2025,0
广东外语外贸大学南国商学院,211组,495,62487,历史,不限,否,2025,0
广东外语外贸大学南国商学院,213组,494,62918,历史,不限,否,2025,0
五邑大学,214组(联合培养),493,63797,历史,不限,否,2025,0
广东外语外贸大学南国商学院,212组,493,64001,历史,不限,否,2025,0
广东第二师范学院,235组(学分互认),493,64188,历史,不限,否,2025,0
广东东软学院,219组,491,65111,历史,不限,否,2025,0
广东白云学院,220组,491,65744,历史,不限,否,2025,0
广东白云学院,226组,488,68547,历史,不限,否,2025,0
广州南方学院,203组,488,68569,历史,不限,否,2025,0
广州南方学院,201组,487,68870,历史,不限,否,2025,0
惠州学院,214组(中外合作),487,69259,历史,不限,否,2025,0
广东外语外贸大学南国商学院,215组,487,69431,历史,不限,否,2025,0
广东外语外贸大学南国商学院,214组,486,69814,历史,不限,否,2025,0
广州商学院,201组,486,70224,历史,不限,否,2025,0
广东东软学院,220组,485,70952,历史,不限,否,2025,0
广东东软学院,221组,485,71229,历史,不限,否,2025,0
广东东软学院,222组,484,71483,历史,不限,否,2025,0
广州软件学院,218组(联合培养),484,71943,历史,不限,否,2025,0
广东白云学院,224组,484,72037,历史,不限,否,2025,0
广州应用科技学院,202组,484,72116,历史,不限,否,2025,0
广东白云学院,222组,482,74063,历史,不限,否,2025,0
广州应用科技学院,203组,481,74319,历史,不限,否,2025,0
广州软件学院,220组,481,74715,历史,不限,否,2025,0
广州商学院,203组,481,74877,历史,不限,否,2025,0
广东白云学院,223组,480,75551,历史,不限,否,2025,0
广东东软学院,223组,480,75816,历史,不限,否,2025,0
广州南方学院,202组,480,76004,历史,不限,否,2025,0
广东科技学院,203组(联合培养),478,77336,历史,不限,否,2025,0
广州软件学院,216组,478,77621,历史,不限,否,2025,0
广东白云学院,221组,477,78693,历史,不限,否,2025,0
广东培正学院,206组,476,79562,历史,不限,否,2025,0
广州科技职业技术大学,201组,475,80134,历史,不限,否,2025,0
广州应用科技学院,205组,474,80966,历史,不限,否,2025,0
广东外语外贸大学南国商学院,231组(国际班),474,81376,历史,不限,否,2025,0
广州软件学院,219组,473,81957,历史,不限,否,2025,0
广州科技职业技术大学,209组(校企联合培养),472,82818,历史,不限,否,2025,0
广东培正学院,205组,472,83044,历史,不限,否,2025,0
广东培正学院,207组(学分互认）,469,86084,历史,不限,否,2025,0
广东科技学院,202组(联合培养),468,86804,历史,不限,否,2025,0
广州南方学院,206组(联合培养),468,87241,历史,不限,否,2025,0
东莞城市学院,204组,468,87477,历史,不限,否,2025,0
东莞城市学院,205组,467,87628,历史,不限,否,2025,0
广州华商学院,202组,467,87849,历史,不限,否,2025,0
广州华立学院,209组(联合培养),467,88338,历史,不限,否,2025,0
东莞城市学院,202组(联合培养),467,88401,历史,不限,否,2025,0
华南农业大学珠江学院,201组,464,90806,历史,不限,否,2025,0
广东理工学院,203组,464,90817,历史,不限,否,2025,0
湛江科技学院,206组,464,90861,历史,不限,否,2025,0
广州应用科技学院,208组,464,90979,历史,不限,否,2025,0
广州工商学院,204组,464,91000,历史,不限,否,2025,0
广州华商学院,203组(国际班),464,91010,历史,不限,否,2025,0
广州工商学院,203组,464,91044,历史,不限,否,2025,0
广东理工学院,212组,464,91139,历史,不限,否,2025,0
广州南方学院,204组,464,91184,历史,不限,否,2025,0
广州工商学院,206组,464,91298,历史,不限,否,2025,0
广州华立学院,211组,464,91363,历史,不限,否,2025,0
广东理工学院,201组,464,91389,历史,不限,否,2025,0
广州华立学院,208组,464,91394,历史,不限,否,2025,0
广东白云学院,225组(国际班-联合培养),464,91395,历史,不限,否,2025,0
广州工商学院,202组,464,91423,历史,不限,否,2025,0
广州应用科技学院,206组,464,91444,历史,不限,否,2025,0
广东科技学院,204组,464,91469,历史,不限,否,2025,0
广州应用科技学院,204组,464,91470,历史,不限,否,2025,0
广州软件学院,217组,464,91502,历史,不限,否,2025,0
广东工商职业技术大学,203组,464,91536,历史,不限,否,2025,0
广东白云学院,227组(联合培养),464,91541,历史,不限,否,2025,0
