year,subject,school_name,school_type,group_id,xuanke_req,xuanke_subjects,plan_count,min_score,min_rank,tuition_yuan,city,is_special,data_source
2024,历史,武汉科技大学,普通,2,政,历史|政治,30,568,6159,5500,武汉,否,555edu 逐校
2024,历史,华中科技大学,985,2,不限,历史,30,604,1853,5500,武汉,否,555edu 逐校
2024,历史,黄冈师范学院,普通,1,不限,历史,30,510,19082,5500,黄冈,否,555edu 逐校
2024,历史,黄冈师范学院,普通,2,不限,历史,30,436,43711,5500,黄冈,否,555edu 逐校
2024,历史,黄冈师范学院,普通,3,不限,历史,30,510,19082,5500,黄冈,是,555edu 逐校
2024,历史,黄冈师范学院,普通,4,政,历史|政治,30,516,17494,5500,黄冈,否,555edu 逐校
2024,历史,黄冈师范学院,普通,5,地,历史|地理,30,516,17494,5500,黄冈,否,555edu 逐校
2024,历史,湖北中医药大学,普通,1,不限,历史,30,510,19082,5500,武汉,否,555edu 逐校
2024,历史,湖北中医药大学,普通,3,化,历史|化学,30,432,45225,5500,武汉,是,555edu 逐校
2024,历史,武汉轻工大学,普通,4,不限,历史,30,531,13646,5500,武汉,是,555edu 逐校
2024,历史,华中师范大学,211,4,不限,历史,30,591,3043,5500,武汉,是,555edu 逐校
2024,历史,湖北中医药大学,普通,2,化,历史|化学,30,432,45225,5500,武汉,否,555edu 逐校
2024,历史,三峡大学,普通,432,（03）,历史,30,534,12945,5500,宜昌,否,555edu 逐校
2024,历史,湖北文理学院,普通,2,首选历史，再选不限,历史,30,467,32349,5500,襄阳,否,555edu 逐校
2024,历史,湖北经济学院,普通,432,（02）,历史,30,535,12714,5500,武汉,否,555edu 逐校
2024,历史,长江大学,普通,1,不限,历史,30,538,12008,5500,荆州,否,555edu 逐校
2024,历史,长江大学,普通,2,不限,历史,30,543,10926,5500,荆州,否,555edu 逐校
2024,历史,长江大学,普通,3,不限,历史,30,536,12476,5500,荆州,是,555edu 逐校
2024,历史,长江大学,普通,4,不限,历史,30,534,12945,5500,荆州,是,555edu 逐校
2024,历史,长江大学,普通,5,政,历史|政治,30,547,10005,5500,荆州,否,555edu 逐校
2024,历史,湖北大学知行学院,普通,432,（01）,历史,30,472,30639,5500,其他,否,555edu 逐校
2024,历史,湖北文理学院,普通,1,首选历史，再选不限,历史,30,506,20200,5500,襄阳,否,555edu 逐校
2024,历史,湖北文理学院,普通,3,首选历史，再选不限,历史,30,505,20499,5500,襄阳,否,555edu 逐校
2024,历史,湖北文理学院,普通,6,首选历史，再选地理,历史,30,503,21098,5500,襄阳,否,555edu 逐校
2024,历史,湖北工程学院,普通,432,（02）,历史,30,500,21955,5500,孝感,否,555edu 逐校
2024,历史,湖北文理学院,普通,4,首选历史，再选不限,历史,30,506,20200,5500,襄阳,是,555edu 逐校
2024,历史,湖北工业大学,普通,3,不限,历史,30,551,9214,5500,武汉,是,555edu 逐校
2024,历史,湖北文理学院,普通,5,首选历史，再选不限,历史,30,478,28654,5500,襄阳,是,555edu 逐校
2024,历史,湖北科技学院,普通,432,（01）,历史,30,496,23113,5500,咸宁,否,555edu 逐校
2024,历史,武汉商学院,普通,437,（05）,历史,30,517,75276,5500,武汉,否,555edu 逐校
2024,历史,华中农业大学,211,1,不限,历史,30,580,4361,5500,武汉,否,555edu 逐校
2024,历史,湖北工业大学,普通,2,不限,历史,30,552,9000,5500,武汉,是,555edu 逐校
2024,历史,湖北工业大学,普通,1,不限,历史,30,559,7693,5500,武汉,否,555edu 逐校
2024,历史,湖北第二师范学院,普通,432,（02）,历史,30,525,15178,5500,其他,否,555edu 逐校
2024,历史,华中农业大学,211,2,不限,历史,30,569,5973,5500,武汉,否,555edu 逐校
2024,历史,湖北科技学院,普通,2,不限,历史,30,478,28654,5500,咸宁,否,MinerU Flash
2024,历史,湖北科技学院,普通,1,不限,历史,30,496,23113,5500,咸宁,否,MinerU Flash
2024,历史,江汉大学,普通,1,不限,历史,30,541,11357,5500,武汉,否,MinerU Flash
2024,历史,湖北医药学院,普通,1,不限,历史,30,487,25815,5500,十堰,否,MinerU Flash
2024,历史,江汉大学,普通,4,不限,历史,30,545,10436,5500,武汉,是,MinerU Flash
2024,历史,江汉大学,普通,3,不限,历史,30,544,10670,5500,武汉,否,MinerU Flash
