year,subject,school_name,school_type,group_id,xuanke_req,xuanke_subjects,plan_count,min_score,min_rank,tuition_yuan,city,is_special,data_source
2023,物理,武汉轻工大学,普通,8,不限,物理,30,506,75477,5500,武汉,否,555edu 逐校
2023,物理,武汉轻工大学,普通,9,不限,物理,30,531,58805,5500,武汉,是,555edu 逐校
2023,物理,武汉轻工大学,普通,10,不限,物理,30,530,59451,5500,武汉,是,555edu 逐校
2023,物理,武汉轻工大学,普通,11,化学,物理|化学,30,524,63434,5500,武汉,否,555edu 逐校
2023,物理,武汉轻工大学,普通,12,化学或生物,物理,30,527,61396,5500,武汉,否,555edu 逐校
2023,物理,武汉轻工大学,普通,13,化学或生物,物理,30,523,64145,5500,武汉,是,555edu 逐校
2023,物理,武汉轻工大学,普通,14,化学或生物,物理,30,524,63434,5500,武汉,是,555edu 逐校
2023,物理,武汉理工大学,211,6,不限,物理,30,639,5814,5500,武汉,否,555edu 逐校
2023,物理,武汉理工大学,211,7,不限,物理,30,637,6305,5500,武汉,否,555edu 逐校
2023,物理,武汉理工大学,211,8,化学,物理|化学,30,634,7081,5500,武汉,否,555edu 逐校
2023,物理,武汉理工大学,211,9,不限,物理,30,616,12783,5500,武汉,否,555edu 逐校
2023,物理,武汉理工大学,211,10,不限,物理,30,616,12783,5500,武汉,是,555edu 逐校
2023,物理,武汉理工大学,211,11,不限,物理,30,606,16756,5500,武汉,是,555edu 逐校
2023,物理,武汉理工大学,211,12,不限,物理,30,601,18891,5500,武汉,否,555edu 逐校
2023,物理,武汉理工大学,211,13,化学或生物,物理,30,594,22035,5500,武汉,否,555edu 逐校
2023,物理,湖北工业大学,普通,4,不限,物理,30,576,31174,5500,武汉,否,555edu 逐校
2023,物理,湖北工业大学,普通,5,不限,物理,30,567,36152,5500,武汉,否,555edu 逐校
2023,物理,湖北工业大学,普通,6,不限,物理,30,558,41506,5500,武汉,否,555edu 逐校
2023,物理,湖北工业大学,普通,7,不限,物理,30,540,52887,5500,武汉,否,555edu 逐校
2023,物理,湖北工业大学,普通,8,不限,物理,30,551,45886,5500,武汉,否,555edu 逐校
2023,物理,湖北工业大学,普通,9,不限,物理,30,563,38543,5500,武汉,是,555edu 逐校
2023,物理,湖北工业大学,普通,10,不限,物理,30,554,44071,5500,武汉,是,555edu 逐校
2023,物理,华中农业大学,211,2,不限,物理,30,604,17557,5500,武汉,否,555edu 逐校
2023,物理,华中农业大学,211,3,不限,物理,30,605,17131,5500,武汉,是,555edu 逐校
2023,物理,华中农业大学,211,4,化学,物理|化学,30,601,18891,5500,武汉,否,555edu 逐校
2023,物理,华中农业大学,211,5,化学或生物,物理,30,599,19780,5500,武汉,否,555edu 逐校
2023,物理,华中农业大学,211,6,化学或生物,物理,30,595,21570,5500,武汉,是,555edu 逐校
2023,物理,华中农业大学,211,7,化学或地理,物理,30,607,16315,5500,武汉,否,555edu 逐校
2023,物理,华中农业大学,211,12,不限,物理,30,597,20672,5500,武汉,是,555edu 逐校
2023,物理,湖北中医药大学,普通,6,不限,物理,30,513,70821,5500,武汉,否,555edu 逐校
2023,物理,湖北中医药大学,普通,7,不限,物理,30,492,84697,5500,武汉,是,555edu 逐校
2023,物理,湖北中医药大学,普通,8,化学,物理|化学,30,518,67513,5500,武汉,否,555edu 逐校
2023,物理,湖北中医药大学,普通,9,化学,物理|化学,30,510,72830,5500,武汉,否,555edu 逐校
2023,物理,湖北中医药大学,普通,10,化学,物理|化学,30,521,65483,5500,武汉,是,555edu 逐校
2023,物理,湖北中医药大学,普通,11,化学,物理|化学,30,516,68825,5500,武汉,是,555edu 逐校
2023,物理,湖北中医药大学,普通,12,化学,物理|化学,30,512,71506,5500,武汉,是,555edu 逐校
2023,物理,湖北中医药大学,普通,13,化学或生物,物理,30,533,57499,5500,武汉,否,555edu 逐校
2023,物理,湖北中医药大学,普通,14,化学或生物,物理,30,538,54180,5500,武汉,是,555edu 逐校
2023,物理,湖北中医药大学,普通,15,化学或生物,物理,30,529,60122,5500,武汉,是,555edu 逐校
2023,物理,华中师范大学,211,15,不限,物理,30,606,16756,5500,武汉,是,555edu 逐校
2023,物理,华中师范大学,211,16,不限,物理,30,616,12783,5500,武汉,否,555edu 逐校
2023,物理,华中师范大学,211,17,不限,物理,30,604,17557,5500,武汉,否,555edu 逐校
2023,物理,华中师范大学,211,18,不限,物理,30,620,11397,5500,武汉,是,555edu 逐校
2023,物理,华中师范大学,211,19,不限,物理,30,615,13191,5500,武汉,是,555edu 逐校
2023,物理,华中师范大学,211,20,不限,物理,30,629,8494,5500,武汉,否,555edu 逐校
2023,物理,华中师范大学,211,21,不限,物理,30,624,10078,5500,武汉,否,555edu 逐校
2023,物理,华中师范大学,211,22,化学,物理|化学,30,619,11725,5500,武汉,否,555edu 逐校
2023,物理,华中师范大学,211,23,化学,物理|化学,30,614,13565,5500,武汉,是,555edu 逐校
2023,物理,华中师范大学,211,24,化学,物理|化学,30,635,6817,5500,武汉,否,555edu 逐校
2023,物理,华中师范大学,211,25,化学或生物,物理,30,615,13191,5500,武汉,否,555edu 逐校
2023,物理,华中师范大学,211,26,化学或生物,物理,30,634,7081,5500,武汉,否,555edu 逐校
2023,物理,华中师范大学,211,27,地理,物理|地理,30,622,10738,5500,武汉,否,555edu 逐校
2023,物理,华中师范大学,211,28,地理,物理|地理,30,630,8188,5500,武汉,否,555edu 逐校
2023,物理,湖北大学,普通,9,不限,物理,30,590,23984,5500,武汉,否,555edu 逐校
2023,物理,湖北大学,普通,10,不限,物理,30,585,26407,5500,武汉,否,555edu 逐校
2023,物理,湖北大学,普通,11,不限,物理,30,583,27480,5500,武汉,否,555edu 逐校
2023,物理,湖北大学,普通,12,不限,物理,30,585,26407,5500,武汉,否,555edu 逐校
2023,物理,湖北大学,普通,13,不限,物理,30,583,27480,5500,武汉,否,555edu 逐校
2023,物理,湖北大学,普通,14,不限,物理,30,567,36152,5500,武汉,否,555edu 逐校
2023,物理,湖北大学,普通,15,化学,物理|化学,30,563,38543,5500,武汉,否,555edu 逐校
2023,物理,湖北大学,普通,16,化学或生物,物理,30,567,36152,5500,武汉,否,555edu 逐校
2023,物理,湖北大学,普通,17,化学或地理,物理,30,577,30633,5500,武汉,否,555edu 逐校
2023,物理,湖北大学,普通,18,化学,物理|化学,30,539,53525,5500,武汉,否,555edu 逐校
2023,物理,湖北大学,普通,19,不限,物理,30,555,43426,5500,武汉,否,555edu 逐校
2023,物理,湖北大学,普通,20,化学或生物,物理,30,531,58805,5500,武汉,否,555edu 逐校
2023,物理,湖北大学,普通,21,不限,物理,30,576,31174,5500,武汉,是,555edu 逐校
2023,物理,湖北大学,普通,22,不限,物理,30,576,31174,5500,武汉,是,555edu 逐校
2023,物理,湖北大学,普通,23,化学或生物,物理,30,560,40316,5500,武汉,是,555edu 逐校
2023,物理,湖北大学,普通,24,化学,物理|化学,30,559,40891,5500,武汉,是,555edu 逐校
2023,物理,湖北师范大学,普通,5,不限,物理,30,522,64838,5500,黄石,否,555edu 逐校
2023,物理,湖北师范大学,普通,6,不限,物理,30,490,85998,5500,黄石,否,555edu 逐校
2023,物理,湖北师范大学,普通,7,不限,物理,30,519,66865,5500,黄石,是,555edu 逐校
2023,物理,湖北师范大学,普通,8,化学,物理|化学,30,510,72830,5500,黄石,否,555edu 逐校
2023,物理,湖北师范大学,普通,9,化学,物理|化学,30,508,74169,5500,黄石,是,555edu 逐校
2023,物理,湖北师范大学,普通,10,化学或生物,物理,30,517,68196,5500,黄石,否,555edu 逐校
2023,物理,湖北师范大学,普通,11,化学或地理,物理,30,521,65483,5500,黄石,否,555edu 逐校
2023,物理,黄冈师范学院,普通,5,不限,物理,30,500,79456,5500,黄冈,否,555edu 逐校
2023,物理,黄冈师范学院,普通,6,不限,物理,30,496,82064,5500,黄冈,是,555edu 逐校
2023,物理,黄冈师范学院,普通,7,化学,物理|化学,30,496,82064,5500,黄冈,否,555edu 逐校
2023,物理,黄冈师范学院,普通,8,化学或生物,物理,30,499,80073,5500,黄冈,否,555edu 逐校
2023,物理,黄冈师范学院,普通,9,化学或地理,物理,30,513,70821,5500,黄冈,否,555edu 逐校
2023,物理,湖北民族大学,普通,4,不限,物理,30,489,86617,5500,恩施,否,555edu 逐校
2023,物理,湖北民族大学,普通,5,不限,物理,30,478,93886,5500,恩施,是,555edu 逐校
2023,物理,湖北民族大学,普通,6,化学,物理|化学,30,489,86617,5500,恩施,否,555edu 逐校
2023,物理,湖北民族大学,普通,7,化学或生物,物理,30,496,82064,5500,恩施,否,555edu 逐校
2023,物理,湖北民族大学,普通,16,化学或地理,物理,30,487,87916,5500,恩施,是,555edu 逐校
2023,物理,湖北民族大学,普通,17,政治,物理|政治,30,489,86617,5500,恩施,是,555edu 逐校
2023,物理,湖北文理学院,普通,12,首选物理，再选化学/生物(2选1),物理,30,512,71506,5500,襄阳,否,555edu 逐校
2023,物理,湖北文理学院,普通,13,首选物理，再选化学/地理(2选1),物理,30,502,78152,5500,襄阳,否,555edu 逐校
2023,物理,湖北文理学院,普通,8,首选物理，再选不限,物理,30,499,80073,5500,襄阳,否,555edu 逐校
2023,物理,湖北文理学院,普通,7,首选物理，再选不限,物理,30,496,82064,5500,襄阳,否,555edu 逐校
2023,物理,湖北文理学院,普通,11,首选物理，再选化学/生物(2选1),物理,30,495,82662,5500,襄阳,否,555edu 逐校
2023,物理,湖北文理学院,普通,10,首选物理，再选化学,物理,30,494,83332,5500,襄阳,否,555edu 逐校
2023,物理,湖北文理学院,普通,9,首选物理，再选不限,物理,30,494,83332,5500,襄阳,是,555edu 逐校
2023,物理,中南财经政法大学,211,424,（11）,物理,30,632,7635,5500,武汉,否,555edu 逐校
2023,物理,武汉体育学院,普通,424,（02）,物理,30,511,72170,5500,武汉,否,555edu 逐校
2023,物理,湖北美术学院,普通,424,（02）,物理,30,492,84697,5500,武汉,否,555edu 逐校
2023,物理,中南民族大学,普通,424,（09）,物理,30,582,27991,5500,武汉,否,555edu 逐校
2023,物理,湖北汽车工业学院,普通,424,（04）,物理,30,490,85998,5500,其他,否,555edu 逐校
2023,物理,湖北工程学院,普通,424,（07）,物理,30,494,83332,5500,孝感,否,555edu 逐校
2023,物理,湖北理工学院,普通,424,（14）,物理,30,497,81403,5500,黄石,否,555edu 逐校
2023,物理,湖北科技学院,普通,424,（11）,物理,30,531,58805,5500,咸宁,否,555edu 逐校
2023,物理,湖北医药学院,普通,424,（03）,物理,30,513,70821,5500,十堰,否,555edu 逐校
2023,物理,武昌工学院,普通,424,（03）,物理,30,442,117824,5500,武汉,否,555edu 逐校
2023,物理,江汉大学,普通,424,（12）,物理,30,579,29562,5500,武汉,否,555edu 逐校
2023,物理,三峡大学,普通,424,（05）,物理,30,554,44071,5500,宜昌,否,555edu 逐校
2023,物理,湖北警官学院,普通,424,（08）,物理,30,513,70821,5500,其他,否,555edu 逐校
2023,物理,荆楚理工学院,普通,424,（14）,物理,30,507,74812,5500,荆门,否,555edu 逐校
2023,物理,湖北经济学院,普通,424,（07）,物理,30,535,56140,5500,武汉,否,555edu 逐校
2023,物理,武汉商学院,普通,424,（04）,物理,30,517,68196,5500,武汉,否,555edu 逐校
2023,物理,湖北师范大学文理学院,普通,424,（02）,物理,30,451,111818,5500,其他,否,555edu 逐校
2023,物理,空军预警学院,普通,1,首选物理，再选不限,物理,30,634,7081,5500,其他,否,555edu 逐校
2023,物理,空军预警学院,普通,2,首选物理，再选不限,物理,30,617,12411,5500,其他,否,555edu 逐校
2023,物理,空军预警学院,普通,3,首选物理，再选不限,物理,30,578,30096,5500,其他,否,555edu 逐校
2023,物理,湖北第二师范学院,普通,424,（16）,物理,30,530,59451,5500,其他,否,555edu 逐校
2023,物理,武汉工商学院,普通,424,（03）,物理,30,440,119161,5500,武汉,否,555edu 逐校
2023,物理,汉口学院,普通,424,（02）,物理,30,436,121791,5500,其他,否,555edu 逐校
2023,物理,湖北经济学院法商学院,普通,424,（05）,物理,30,458,107139,5500,其他,否,555edu 逐校
2023,物理,湖北工业大学工程技术学院,普通,424,（02）,物理,30,452,111186,5500,其他,否,555edu 逐校
2023,物理,湖北恩施学院,普通,424,（10）,物理,30,458,107139,5500,其他,否,555edu 逐校
2023,物理,湖北大学知行学院,普通,424,（03）,物理,30,449,113211,5500,其他,否,555edu 逐校
2023,物理,北京大学,普通,05,物理+化学,物理|化学,30,693,50,6000,其他,否,真实锚点
2023,物理,清华大学,985,04,物理+化学,物理|化学,30,693,50,6000,其他,否,真实锚点
2023,物理,清华大学,985,07,物理+化学,物理|化学,30,693,50,6000,其他,否,真实锚点
2023,物理,清华大学(国家专项),985,01,物理+化学,物理|化学,30,683,200,6000,其他,否,真实锚点
2023,物理,清华大学(国家专项),985,02,物理+化学,物理|化学,30,678,350,6000,其他,否,真实锚点
2023,物理,上海交通大学,211,03,物理+化学,物理|化学,30,682,250,6000,其他,否,真实锚点
2023,物理,上海交通大学(国家专项),211,01,物理+化学,物理|化学,30,677,400,6000,其他,否,真实锚点
2023,物理,上海交通大学医学院,211,01,物理+化学,物理|化学,30,681,280,6000,其他,否,真实锚点
2023,物理,复旦大学,985,06,物理+化学,物理|化学,30,682,250,6000,其他,否,真实锚点
2023,物理,北京大学医学部,普通,01,物理+化学,物理|化学,30,681,280,6000,其他,否,真实锚点
2023,物理,北京大学(国家专项),普通,01,物理+化学,物理|化学,30,676,450,6000,其他,否,真实锚点
2023,物理,北京大学(国家专项),普通,02,物理+化学,物理|化学,30,677,400,6000,其他,否,真实锚点
2023,物理,中国科学技术大学,985,02,物理+化学,物理|化学,60,672,700,5500,合肥,否,真实锚点
2023,物理,南京大学,985,04,物理+化学,物理|化学,60,670,800,5500,南京,否,真实锚点
2023,物理,中国人民大学,985,03,物理+化学,物理|化学,30,666,1000,6000,其他,否,真实锚点
2023,物理,浙江大学,985,04,物理+化学,物理|化学,60,668,900,5500,杭州,否,真实锚点
2023,物理,浙江大学医学院,普通,01,物理+化学,物理|化学,60,670,800,5500,其他,否,真实锚点
2023,物理,南开大学,985,05,物理+化学,物理|化学,60,660,1400,5500,天津,否,真实锚点
2023,物理,哈尔滨工业大学(深圳),普通,01,物理+化学,物理|化学,30,661,1300,6000,其他,否,真实锚点
2023,物理,北京航空航天大学,985,06,物理+化学,物理|化学,60,639,4500,5500,北京,否,真实锚点
2023,物理,北京理工大学,985,05,物理+化学,物理|化学,60,652,2400,5500,北京,否,真实锚点
2023,物理,同济大学,985,05,物理+化学,物理|化学,60,651,1600,5500,上海,否,真实锚点
2023,物理,中国人民大学(苏州校区),985,03,物理+化学,物理|化学,60,654,2100,5500,北京,否,真实锚点
2023,物理,武汉大学,普通,03,物理+化学,物理|化学,30,644,4682,6000,其他,否,真实锚点
2023,物理,华中科技大学,普通,03,物理+化学,物理|化学,30,654,2854,6000,其他,否,真实锚点
2023,物理,华中科技大学,普通,07,物理+化学,物理|化学,30,654,2854,6000,其他,否,真实锚点
2023,物理,华中科技大学,普通,09,物理+化学,物理|化学,30,628,6500,6000,其他,否,真实锚点
2023,物理,华中科技大学,普通,10,物理+化学,物理|化学,30,637,4800,6000,其他,否,真实锚点
2023,物理,武汉大学(国家专项),普通,01,物理+化学,物理|化学,30,612,10000,6000,其他,否,真实锚点
2023,物理,武汉大学(民族班),普通,01,物理+化学,物理|化学,30,619,8000,6000,其他,否,真实锚点
2023,物理,西安交通大学,985,08,物理+化学,物理|化学,60,640,3700,5500,西安,否,真实锚点
2023,物理,西北工业大学,985,03,物理+化学,物理|化学,60,633,5500,5500,西安,否,真实锚点
2023,物理,东南大学,985,05,物理+化学,物理|化学,30,644,4682,6000,其他,否,真实锚点
2023,物理,中山大学,985,05,物理+化学,物理|化学,30,631,5800,6000,其他,否,真实锚点
2023,物理,华南理工大学,985,05,物理+化学,物理|化学,60,631,5800,5500,广州,否,真实锚点
2023,物理,四川大学,985,05,物理+化学,物理|化学,30,627,7100,6000,其他,否,真实锚点
2023,物理,中南大学,985,06,物理+化学,物理|化学,60,627,7100,5500,长沙,否,真实锚点
2023,物理,重庆大学,985,06,物理+化学,物理|化学,60,633,5500,5500,重庆,否,真实锚点
2023,物理,山东大学,985,10,物理+化学,物理|化学,60,620,9000,5500,济南,否,真实锚点
2023,物理,中央民族大学,985,05,物理+化学,物理|化学,30,622,8200,6000,其他,否,真实锚点
2023,物理,兰州大学,普通,01,物理+化学,物理|化学,30,615,10500,6000,其他,否,真实锚点
2023,物理,中国农业大学,985,05,物理+化学,物理|化学,60,605,14500,5500,北京,否,真实锚点
2023,物理,华中科技大学(国家专项),普通,01,物理+化学,物理|化学,30,619,9500,6000,其他,否,真实锚点
2023,物理,华中农业大学,985,01,物理+化学,物理|化学,30,599,17500,6000,其他,否,真实锚点
2023,物理,武汉理工大学,211,08,物理+化学,物理|化学,60,620,9500,5500,武汉,否,真实锚点
2023,物理,中南财经政法大学,985,01,物理+化学,物理|化学,30,603,15000,6000,其他,否,真实锚点
2023,物理,华中师范大学,211,01,物理+化学,物理|化学,30,604,14500,6000,其他,否,真实锚点
2023,物理,中国地质大学(武汉),211,01,物理+化学,物理|化学,30,593,22000,6000,其他,否,真实锚点
2023,物理,北京邮电大学,211,03,物理+化学,物理|化学,60,635,5300,5500,北京,否,真实锚点
2023,物理,西安电子科技大学,普通,03,物理+化学,物理|化学,60,625,7800,5500,其他,否,真实锚点
2023,物理,上海大学,211,04,物理+化学,物理|化学,60,614,12000,5500,上海,否,真实锚点
2023,物理,苏州大学,211,07,物理+化学,物理|化学,60,614,12000,5500,苏州,否,真实锚点
2023,物理,江南大学,211,25,物理+化学,物理|化学,60,612,12800,5500,无锡,否,真实锚点
2023,物理,河海大学,211,06,物理+化学,物理|化学,60,619,9400,5500,南京,否,真实锚点
2023,物理,南京师范大学,211,04,物理+化学,物理|化学,30,615,11500,6000,其他,否,真实锚点
2023,物理,中央财经大学,211,06,物理+化学,物理|化学,60,617,10500,5500,北京,否,真实锚点
2023,物理,上海财经大学,211,04,物理+化学,物理|化学,60,620,9000,5500,上海,否,真实锚点
2023,物理,对外经济贸易大学,普通,05,物理+化学,物理|化学,30,630,6000,6000,其他,否,真实锚点
2023,物理,华东师范大学,普通,11,物理+化学,物理|化学,60,627,7500,5500,其他,否,真实锚点
