school_name,group_code,min_score,min_rank,subject,xuanke_req,is_special,year,plan_count
武汉科技大学,第11组（中外合作）,551,43678,物理,不限,否,2025,0
湖北大学,第25组（国家专项）,551,43678,物理,不限,否,2025,0
武汉工程大学,第07组,551,43678,物理,不限,否,2025,0
中南民族大学,第11组（预科班）,550,44422,物理,不限,否,2025,0
江汉大学,第09组,550,44422,物理,不限,否,2025,0
湖北工业大学,第04组,550,44422,物理,不限,否,2025,0
武汉科技大学,第12组（中外合作）,548,46014,物理,不限,否,2025,0
江汉大学,第12组,548,46014,物理,不限,否,2025,0
三峡大学,第10组,547,46810,物理,不限,否,2025,0
武汉工程大学,第06组,546,47606,物理,不限,否,2025,0
湖北中医药大学,第15组（国家专项）,546,47606,物理,不限,否,2025,0
湖北大学,第26组（地方专项）,545,48402,物理,不限,否,2025,0
三峡大学,第11组,543,49994,物理,不限,否,2025,0
三峡大学,第14组（民族班）,543,49994,物理,不限,否,2025,0
三峡大学,第16组（国家专项）,543,49994,物理,不限,否,2025,0
江汉大学,第15组,543,49994,物理,不限,否,2025,0
湖北中医药大学,第11组,543,49994,物理,不限,否,2025,0
湖北大学,第22组（中外合作）,542,50790,物理,不限,否,2025,0
长江大学,第09组,542,50790,物理,不限,否,2025,0
武汉工程大学,第09组（国家专项）,542,50790,物理,不限,否,2025,0
湖北工业大学,第13组（地方专项）,542,50790,物理,不限,否,2025,0
武汉工程大学,第04组,540,52382,物理,不限,否,2025,0
武汉纺织大学,第07组（国家专项）,540,52382,物理,不限,否,2025,0
武汉轻工大学,第06组,540,52382,物理,不限,否,2025,0
三峡大学,第17组（地方专项）,538,54031,物理,不限,否,2025,0
湖北工业大学,第11组（中外合作）,538,54031,物理,不限,否,2025,0
湖北大学,第27组（地方专项）,537,54856,物理,不限,否,2025,0
三峡大学,第12组,537,54856,物理,不限,否,2025,0
江汉大学,第13组,537,54856,物理,不限,否,2025,0
武汉纺织大学,第06组,537,54856,物理,不限,否,2025,0
三峡大学,第06组,536,55680,物理,不限,否,2025,0
江汉大学,第10组,536,55680,物理,不限,否,2025,0
湖北大学,第21组（中外合作）,535,56505,物理,不限,否,2025,0
三峡大学,第15组（国家专项）,535,56505,物理,不限,否,2025,0
江汉大学,第18组,535,56505,物理,不限,否,2025,0
武汉纺织大学,第08组（地方专项）,535,56505,物理,不限,否,2025,0
湖北医药学院,第05组,534,57330,物理,不限,否,2025,0
长江大学,第11组,532,58979,物理,不限,否,2025,0
武汉工程大学,第10组（地方专项）,532,58979,物理,不限,否,2025,0
武汉纺织大学,第04组,532,58979,物理,不限,否,2025,0
湖北经济学院,第09组,532,58979,物理,不限,否,2025,0
湖北中医药大学,第17组（地方专项）,532,58979,物理,不限,否,2025,0
江汉大学,第14组,531,59804,物理,不限,否,2025,0
江汉大学,第19组（地方专项）,530,60629,物理,不限,否,2025,0
江汉大学,第07组,529,61497,物理,不限,否,2025,0
江汉大学,第08组,529,61497,物理,不限,否,2025,0
