school_name,group_id,xuanke_req,is_special,group_name,min_score,subject,source,batch,kind,min_rank,data_source
上海师范大学天华学院,1,不限,否,上海师范大学天华学院01专业组(不限),478,物理,eol.cn 征求志愿,本科批,普通类,0,eol.cn 征求志愿 (外省在江苏招生)
上海立达学院,1,不限,否,上海立达学院01专业组(不限),510,物理,eol.cn 征求志愿,本科批,普通类,0,eol.cn 征求志愿 (外省在江苏招生)
上海中侨职业技术大学,1,不限,否,上海中侨职业技术大学01专业组(不限),478,物理,eol.cn 征求志愿,本科批,普通类,0,eol.cn 征求志愿 (外省在江苏招生)
浙江万里学院,1,不限,否,浙江万里学院01专业组(不限),509,物理,eol.cn 征求志愿,本科批,普通类,0,eol.cn 征求志愿 (外省在江苏招生)
浙江越秀外国语学院,1,不限,否,浙江越秀外国语学院01专业组(不限),485,物理,eol.cn 征求志愿,本科批,普通类,0,eol.cn 征求志愿 (外省在江苏招生)
安徽外国语学院,1,不限,否,安徽外国语学院01专业组(不限),479,物理,eol.cn 征求志愿,本科批,普通类,0,eol.cn 征求志愿 (外省在江苏招生)
厦门工学院,1,不限,否,厦门工学院01专业组(不限),482,物理,eol.cn 征求志愿,本科批,普通类,0,eol.cn 征求志愿 (外省在江苏招生)
阳光学院,1,不限,否,阳光学院01专业组(不限),478,物理,eol.cn 征求志愿,本科批,普通类,0,eol.cn 征求志愿 (外省在江苏招生)
江西科技学院,1,不限,否,江西科技学院01专业组(不限),488,物理,eol.cn 征求志愿,本科批,普通类,0,eol.cn 征求志愿 (外省在江苏招生)
江西应用科技学院,1,不限,否,江西应用科技学院01专业组(不限),485,物理,eol.cn 征求志愿,本科批,普通类,0,eol.cn 征求志愿 (外省在江苏招生)
江西服装学院,1,不限,否,江西服装学院01专业组(不限),478,物理,eol.cn 征求志愿,本科批,普通类,0,eol.cn 征求志愿 (外省在江苏招生)
南昌工学院,1,不限,否,南昌工学院01专业组(不限),481,物理,eol.cn 征求志愿,本科批,普通类,0,eol.cn 征求志愿 (外省在江苏招生)
南昌交通学院,1,不限,否,南昌交通学院01专业组(不限),479,物理,eol.cn 征求志愿,本科批,普通类,0,eol.cn 征求志愿 (外省在江苏招生)
景德镇艺术职业大学,1,不限,否,景德镇艺术职业大学01专业组(不限),478,物理,eol.cn 征求志愿,本科批,普通类,0,eol.cn 征求志愿 (外省在江苏招生)
