slug,title,style
international-law,国际法,law
economic-law,经济法,law
criminal-law,刑法,law
civil-law-jurisprudence,民法,law
commercial-law,商法,law
administrative-law,行政法,law
prison-studies,监狱学,gongan
drug-control,禁毒学,gongan
criminology,犯罪学,gongan
foreign-police,涉外警务,gongan
civil-procedure,民事诉讼法,law
criminal-procedure,刑事诉讼法,law
