slug,title,style
fintech,金融科技,business
cross-border-ecommerce,跨境电子商务,business
big-data-management-application,大数据管理与应用,business
credit-management,信用管理,business
supply-chain-management,供应链管理,administration
cultural-industry-management,文化产业管理,administration
