slug,title,style
human-resource-management,人力资源管理,administration
marketing,市场营销,administration
engineering-management,工程管理,administration
labor-social-security,劳动与社会保障,administration
agricultural-economy,农林经济管理,administration
logistics-management,物流管理,administration
e-commerce,电子商务,administration
tourism-management,旅游管理,administration
