slug,title,style
medical-imaging,医学影像学,medicine
stomatology,口腔医学,medicine
traditional-chinese-medicine,中医学,medicine
anesthesiology,麻醉学,medicine
traditional-chinese-pharmacy,中药学,medicine
medical-laboratory-science,医学检验技术,medicine
rehabilitation-therapy,康复治疗学,medicine
animal-science,动物科学,agri
horticulture,园艺,agri
