slug,title,style
nursing,护理学,medicine
forensic-medicine,法医学,medicine
acupuncture-massage,针灸推拿学,medicine
medical-laboratory-tech,医学检验技术,medicine
rehabilitation-therapy,康复治疗学,medicine
