slug,title,style
japanese,日语,humanities
journalism,新闻学,humanities
advertising,广告学,humanities
translation-interpreting,翻译,humanities
broadcasting-hosting,播音与主持艺术,humanities
russian,俄语,humanities
applied-linguistics,应用语言学,humanities
ideological-political-education,思想政治教育,law
