slug,title,style
optoelectronic-information-science-engineering,光电信息科学与工程,eng
mechanical-design-manufacture-automation,机械设计制造及其自动化,eng
environmental-engineering,环境工程,eng
biological-engineering,生物工程,eng
robotics-engineering,机器人工程,eng
energy-power-engineering,能源与动力工程,eng
pharmaceutical-engineering,制药工程,eng
intelligent-manufacturing-engineering,智能制造工程,eng
environmental-science,环境科学,sci
