slug,title,style
art-management,艺术管理,arts
musical-performance,音乐表演,arts
musicology,音乐学,arts
dance-choreography,舞蹈编导,arts
broadcasting-tv-directing,广播电视编导,arts
drama-film-tv-literature,戏剧影视文学,arts
