school_code,school_name,group_code,group_id,xuanke_req,plan_count,admitted,min_score,min_rank,year,subject,is_special
1362,盐城师范学院,06,06,地理,30,0,531,28971,2024,历史,否
1381,扬州大学,04,04,不限,30,0,594,7067,2024,历史,否
1381,扬州大学,05,05,不限,30,0,576,13286,2024,历史,否
1381,扬州大学,06,06,不限,30,0,559,20269,2024,历史,否
1381,扬州大学,07,07,不限,30,0,558,20413,2024,历史,否
1381,扬州大学,08,08,不限,30,0,556,20700,2024,历史,否
1381,扬州大学,11,11,化学,30,0,478,97680,2024,历史,否
1381,扬州大学,12,12,思想政治,30,0,580,8000,2024,历史,否
1401,江苏大学,01,01,不限,30,0,574,13500,2024,历史,否
1401,江苏大学,02,02,不限,30,0,564,14571,2024,历史,否
1401,江苏大学,04,04,思想政治,30,0,571,13821,2024,历史,否
1421,泰州学院,02,02,不限,30,0,519,45250,2024,历史,否
1426,宿迁学院,01,01,不限,30,0,517,45750,2024,历史,否
1426,宿迁学院,02,02,思想政治,30,0,526,29828,2024,历史,否
1802,东南大学成贤学院,01,01,不限,30,0,515,46250,2024,历史,否
1802,东南大学成贤学院,02,02,不限,30,0,505,48750,2024,历史,否
1803,南京航空航天大学金城学院,01,01,不限,30,0,497,73818,2024,历史,否
1803,南京航空航天大学金城学院,02,02,不限,30,0,492,75636,2024,历史,否
1803,南京航空航天大学金城学院,03,03,不限,30,0,480,80000,2024,历史,否
1803,南京航空航天大学金城学院,04,04,思想政治,30,0,505,48750,2024,历史,否
1804,南京理工大学紫金学院,01,01,不限,30,0,513,46750,2024,历史,否
1804,南京理工大学紫金学院,02,02,不限,30,0,506,48500,2024,历史,否
1807,南京审计大学金审学院,01,01,不限,30,0,509,47750,2024,历史,否
1810,南京工业大学浦江学院,01,01,不限,30,0,496,74182,2024,历史,否
1810,南京工业大学浦江学院,02,02,不限,30,0,491,76000,2024,历史,否
1816,南京财经大学红山学院,01,01,不限,30,0,497,73818,2024,历史,否
1826,中国矿业大学徐海学院,01,01,不限,30,0,495,74545,2024,历史,否
1827,江苏师范大学科文学院,01,01,不限,30,0,494,74909,2024,历史,否
1827,江苏师范大学科文学院,02,02,不限,30,0,491,76000,2024,历史,否
1827,江苏师范大学科文学院,03,03,不限,30,0,478,97680,2024,历史,否
1827,江苏师范大学科文学院,04,04,不限,30,0,487,77454,2024,历史,否
1827,江苏师范大学科文学院,05,05,地理,30,0,492,75636,2024,历史,否
1834,苏州大学应用技术学院,01,01,不限,30,0,492,75636,2024,历史,否
1835,苏州科技大学天平学院,01,01,不限,30,0,504,49000,2024,历史,否
1835,苏州科技大学天平学院,02,02,化学,30,0,478,97680,2024,历史,否
1837,江苏科技大学苏州理工学院,01,01,不限,30,0,495,74545,2024,历史,否
1838,南通大学杏林学院,01,01,不限,30,0,486,77818,2024,历史,否
1838,南通大学杏林学院,02,02,化学,30,0,478,97680,2024,历史,否
1844,扬州大学广陵学院,01,01,不限,30,0,505,48750,2024,历史,否
1845,江苏大学京江学院,01,01,不限,30,0,491,76000,2024,历史,否
1845,江苏大学京江学院,02,02,生物,30,0,478,97680,2024,历史,否
1846,南京医科大学康达学院,01,01,不限,30,0,487,77454,2024,历史,否
1846,南京医科大学康达学院,02,02,生物,30,0,478,97680,2024,历史,否
1847,南京师范大学泰州学院,01,01,不限,30,0,504,49000,2024,历史,否
1847,南京师范大学泰州学院,02,02,不限,30,0,509,47750,2024,历史,否
1848,南京理工大学泰州科技学院,01,01,不限,30,0,491,76000,2024,历史,否
1850,南京邮电大学通达学院,01,01,不限,30,0,497,73818,2024,历史,否
1855,常州大学怀德学院,01,01,不限,30,0,487,77454,2024,历史,否
1858,南京师范大学中北学院,01,01,不限,30,0,504,49000,2024,历史,否
1858,南京师范大学中北学院,02,02,不限,30,0,490,76363,2024,历史,否
1901,南京传媒学院,01,01,不限,30,0,478,97680,2024,历史,否
1911,三江学院,01,01,不限,30,0,486,77818,2024,历史,否
1915,无锡太湖学院,01,01,不限,30,0,497,73818,2024,历史,否
1915,无锡太湖学院,02,02,生物,30,0,492,75636,2024,历史,否
1928,南通理工学院,01,01,不限,30,0,483,78909,2024,历史,否
2101,复旦大学,03,03,不限,30,0,650,167,2024,历史,否
2102,同济大学,02,02,不限,30,0,634,495,2024,历史,否
2102,同济大学,03,03,思想政治,30,0,633,503,2024,历史,否
2103,上海交通大学,01,01,不限,30,0,654,154,2024,历史,否
2104,华东理工大学,01,01,不限,30,0,587,7533,2024,历史,否
2105,东华大学,01,01,不限,30,0,593,7133,2024,历史,否
2106,华东师范大学,01,01,不限,30,0,618,2050,2024,历史,否
2106,华东师范大学,02,02,不限,30,0,627,547,2024,历史,否
2106,华东师范大学,03,03,思想政治,30,0,627,547,2024,历史,否
2107,华东政法大学,01,01,不限,30,0,615,2125,2024,历史,否
2109,上海外国语大学,01,01,不限,30,0,612,2200,2024,历史,否
2109,上海外国语大学,02,02,思想政治,30,0,619,2025,2024,历史,否
2110,上海财经大学,01,01,不限,30,0,624,570,2024,历史,否
2111,上海师范大学,02,02,不限,30,0,578,13072,2024,历史,否
2112,上海大学,01,01,不限,30,0,576,13286,2024,历史,否
2112,上海大学,02,02,不限,30,0,596,6934,2024,历史,否
2114,上海对外经贸大学,02,02,不限,30,0,586,7600,2024,历史,否
2115,上海理工大学,01,01,不限,30,0,566,14357,2024,历史,否
2116,上海海洋大学,01,01,不限,30,0,581,7933,2024,历史,否
2117,上海海事大学,01,01,不限,30,0,595,7000,2024,历史,否
2118,上海电力大学,01,01,不限,30,0,565,14464,2024,历史,否
2119,上海体育大学,01,01,不限,30,0,573,13607,2024,历史,否
2119,上海体育大学,02,02,不限,30,0,564,14571,2024,历史,否
2119,上海体育大学,03,03,不限,30,0,572,13714,2024,历史,否
2119,上海体育大学,04,04,不限,30,0,570,13928,2024,历史,否
2120,上海工程技术大学,01,01,不限,30,0,552,21275,2024,历史,否
2124,上海第二工业大学,01,01,不限,30,0,546,22137,2024,历史,否
2125,上海政法学院,01,01,不限,30,0,552,21275,2024,历史,否
2125,上海政法学院,02,02,不限,30,0,587,7533,2024,历史,否
2125,上海政法学院,03,03,不限,30,0,599,6734,2024,历史,否
2128,复旦大学医学院,01,01,生物,30,0,588,7467,2024,历史,否
2136,上海电机学院,01,01,不限,30,0,539,27600,2024,历史,否
2137,上海立信会计金融学院,01,01,不限,30,0,566,14357,2024,历史,否
2141,上海商学院,01,01,不限,30,0,546,22137,2024,历史,否
2201,浙江大学,01,01,不限,30,0,637,473,2024,历史,否
2203,浙江理工大学,01,01,不限,30,0,563,14678,2024,历史,否
