school_code,school_name,group_code,group_id,plan_count,admitted,min_score,min_rank,year,subject,xuanke_req,is_special
10292,常州大学,201,01,4,0,522,26430,2024,历史,不限,否
10295,江南大学,201,01,4,4,579,6445,2024,历史,不限,否
10295,江南大学,202,02,11,11,572,8066,2024,历史,不限,否
10295,江南大学（中外合作办学）,203,03,30,2,575,7380,2024,历史,不限,否
10298,南京林业大学,201,01,2,2,560,11450,2024,历史,不限,否
10298,南京林业大学,202,02,6,6,562,10721,2024,历史,不限,否
10299,江苏大学,201,01,4,4,573,7925,2024,历史,不限,否
10300,南京信息工程大学,201,01,2,2,560,11136,2024,历史,不限,否
10300,南京信息工程大学,202,02,3,3,543,17438,2024,历史,不限,否
10300,南京信息工程大学,203,03,14,14,563,10410,2024,历史,不限,否
10304,南通大学,201,01,7,7,535,20337,2024,历史,不限,否
10304,南通大学,202,02,2,2,531,22199,2024,历史,不限,否
10304,南通大学                             &gt;&gt;&gt;,203,03,2,2,530,22624,2024,历史,不限,否
10304,南通大学                             K,204,04,2,2,542,17544,2024,历史,不限,否
10307,南京农业大学                             ?,201,01,11,11,574,7618,2024,历史,不限,否
10312,南京医科大学,201,01,1,1,562,10751,2024,历史,不限,否
10316,中国药科大学,201,01,4,4,578,6823,2024,历史,不限,否
10319,南京师范大学  ?,201,01,7,7,588,4714,2024,历史,不限,否
10320,江苏师范大学,201,01,2,2,528,23749,2024,历史,不限,否
10320,江苏师范大学,202,02,2,2,526,24790,2024,历史,不限,否
10320,江苏师范大学,203,03,2,2,528,23521,2024,历史,不限,否
10320,江苏师范大学,204,04,6,6,525,24842,2024,历史,不限,否
10327,南京财经大学,203,03,19,19,541,18216,2024,历史,不限,否
10331,南京艺术学院,201,01,6,6,527,23946,2024,历史,不限,否
10332,苏州科技大学,201,01,8,8,531,22286,2024,历史,不限,否
10335,浙江大学,201,01,38,38,640,271,2024,历史,不限,否
10336,杭州电子科技大学,201,01,20,20,536,20061,2024,历史,不限,否
10338,浙江理工大学,201,01,11,11,535,20628,2024,历史,不限,否
10341,浙江农林大学,201,01,8,8,527,24122,2024,历史,不限,否
10344,浙江中医药大学,201,01,1,1,530,22785,2024,历史,不限,否
10344,浙江中医药大学,202,02,2,2,529,23362,2024,历史,不限,否
10344,浙江中医药大学,203,03,2,2,507,34634,2024,历史,不限,否
10345,浙江师范大学,201,01,11,11,536,20091,2024,历史,不限,否
10345,浙江师范大学,202,02,7,7,518,28517,2024,历史,不限,否
10345,浙江师范大学,203,03,2,2,544,17029,2024,历史,不限,否
10345,浙江师范大学               S,204,04,2,2,573,7792,2024,历史,不限,否
10345,浙江师范大学（中外合作办学）,205,05,5,5,529,22918,2024,历史,不限,否
10346,杭州师范大学,201,01,5,5,534,20819,2024,历史,不限,否
10347,湖州师范学院,201,01,2,2,524,25440,2024,历史,不限,否
10349,绍兴文理学院,201,01,5,5,508,33875,2024,历史,不限,否
10351,温州大学,201,01,6,6,539,18913,2024,历史,不限,否
10351,温州大学,W202&gt;,02,2,2,525,24986,2024,历史,不限,否
10351,温州大学                                 1,203,03,2,2,532,21871,2024,历史,不限,否
10353,浙江工商大学                           X,201,01,17,17,541,17977,2024,历史,不限,否
10353,浙江工商大学                         偈人,202,02,4,4,537,19702,2024,历史,不限,否
10355,中国美术学院                       &gt;&gt;,201,01,7,7,535,20680,2024,历史,不限,否
10355,中国美术学院             XV,204,04,9,9,554,13218,2024,历史,不限,否
10357,安徽大学                  W,201,01,21,21,569,8777,2024,历史,不限,否
10359,合肥工业大学,201,01,5,5,571,8441,2024,历史,不限,否
10359,合肥工业大学      7,202,02,7,7,582,5973,2024,历史,不限,否
10360,安徽工业大学,201,01,2,2,518,28661,2024,历史,不限,否
10370,安徽师范大学,201,01,11,11,544,16711,2024,历史,不限,否
10372,安庆师范大学,201,01,5,5,498,40093,2024,历史,不限,否
10373,淮北师范大学,202,02,3,3,512,32015,2024,历史,不限,否
10373,淮北师范大学,203,03,3,3,526,24479,2024,历史,不限,否
10377,滁州学院,201,01,30,18,494,42618,2024,历史,不限,否
10377,滁州学院,202,02,2,2,494,42631,2024,历史,不限,否
10378,安徽财经大学,201,01,6,6,523,25893,2024,历史,不限,否
10378,安徽财经大学,202,02,8,8,533,21546,2024,历史,不限,否
10383,铜陵学院,201,01,30,13,490,45206,2024,历史,不限,否
10384,厦门大学,201,01,19,19,616,1403,2024,历史,不限,否
10384,厦门大学,202,02,4,4,630,558,2024,历史,不限,否
10384,厦门大学（马来西亚分校）                &gt;,203,03,11,11,590,4367,2024,历史,不限,否
10385,华侨大学,201,01,66,66,531,22407,2024,历史,不限,否
10385,华侨大学                            &gt;&gt;,204,04,2,2,548,15287,2024,历史,不限,否
10386,福州大学,201,01,3,3,579,6585,2024,历史,不限,否
10389,福建农林大学            XY,201,01,2,2,534,20939,2024,历史,不限,否
10389,福建农林大学（中外合作办学）,202,02,3,3,497,40858,2024,历史,不限,否
10389,福建农林大学（中外合作办学）,203,03,3,3,480,52566,2024,历史,不限,否
10390,集美大学,201,01,2,2,533,21151,2024,历史,不限,否
10390,集美大学,202,02,6,6,551,14316,2024,历史,不限,否
10394,福建师范大学,201,01,4,4,571,8411,2024,历史,不限,否
10394,福建师范大学,202,02,22,0,550,14681,2024,历史,不限,否
10394,福建师范大学,204,04,5,0,581,6008,2024,历史,不限,否
10394,福建师范大学（中外合作办学）,205,05,6,6,509,33224,2024,历史,不限,否
10395,闽江学院,201,01,4,4,521,27121,2024,历史,不限,否
10397,武夷学院,201,01,8,8,496,41586,2024,历史,不限,否
10399,泉州师范学院,201,01,4,4,529,23246,2024,历史,不限,否
10399,泉州师范学院,202,02,30,3,516,29707,2024,历史,不限,否
10403,南昌大学,201,01,7,7,574,7605,2024,历史,不限,否
10403,南昌大学,202,02,3,3,574,7727,2024,历史,不限,否
10404,华东交通大学,201,01,2,2,531,22233,2024,历史,不限,否
10404,华东交通大学,202,02,13,13,532,21622,2024,历史,不限,否
10404,华东交通大学（联合培养）,203,03,3,3,507,34491,2024,历史,不限,否
10405,东华理工大学（联合培养）,201,01,3,3,501,38132,2024,历史,不限,否
10405,东华理工大学,202,02,12,12,512,31497,2024,历史,不限,否
10406,南昌航空大学              &gt;,201,01,8,8,520,27739,2024,历史,不限,否
