school_code,school_name,group_code,group_id,xuanke_req,plan_count,admitted,min_score,min_rank,year,subject,is_special
7218,兰州城市学院,06,06,思想政治,30,0,507,106151,2024,物理,否
7218,兰州城市学院,07,07,地理,30,0,507,106151,2024,物理,否
7219,兰州文理学院,02,02,化学,30,0,499,137048,2024,物理,否
7220,甘肃医学院,01,01,化学,30,0,522,97903,2024,物理,否
7220,甘肃医学院,02,02,化学,30,0,555,58909,2024,物理,否
7222,兰州石化职业技术大学,03,03,化学,30,0,496,139093,2024,物理,否
7223,兰州资源环境职业技术大学,01,01,不限,30,0,510,104501,2024,物理,否
7224,甘肃中医药大学,01,01,化学,30,0,529,78172,2024,物理,否
7224,甘肃中医药大学,02,02,化学,30,0,510,104501,2024,物理,否
7224,甘肃中医药大学,03,03,化学,30,0,511,103951,2024,物理,否
7224,甘肃中医药大学,04,04,化学,30,0,555,58909,2024,物理,否
7224,甘肃中医药大学,05,05,化学,30,0,542,64187,2024,物理,否
7224,甘肃中医药大学,06,06,化学,30,0,561,47657,2024,物理,否
7224,甘肃中医药大学,07,07,化学,30,0,580,30000,2024,物理,否
7301,青海大学,01,01,化学,30,0,588,28002,2024,物理,否
7301,青海大学,02,02,化学和生物,30,0,595,26253,2024,物理,否
7302,青海民族大学,03,03,化学,30,0,495,139774,2024,物理,否
7302,青海民族大学,04,04,思想政治,30,0,515,101752,2024,物理,否
7303,青海师范大学,02,02,不限,30,0,522,97903,2024,物理,否
7303,青海师范大学,03,03,化学,30,0,519,99552,2024,物理,否
7304,青海职业技术大学,02,02,不限,30,0,498,137729,2024,物理,否
7305,青海理工学院,01,01,不限,30,0,504,107800,2024,物理,否
7305,青海理工学院,02,02,化学,30,0,490,143183,2024,物理,否
7401,北方民族大学,02,02,不限,30,0,518,100102,2024,物理,否
7401,北方民族大学,04,04,化学,30,0,514,102302,2024,物理,否
7402,宁夏大学,04,04,化学,30,0,591,27252,2024,物理,否
7402,宁夏大学,05,05,化学,30,0,594,26503,2024,物理,否
7402,宁夏大学,06,06,化学,30,0,586,28501,2024,物理,否
7402,宁夏大学,07,07,化学,30,0,598,25504,2024,物理,否
7402,宁夏大学,08,08,化学,30,0,592,27003,2024,物理,否
7403,宁夏医科大学,01,01,化学,30,0,538,74059,2024,物理,否
7403,宁夏医科大学,02,02,化学和生物,30,0,532,76801,2024,物理,否
7501,新疆大学,03,03,不限,30,0,573,43545,2024,物理,否
7501,新疆大学,04,04,化学,30,0,571,44230,2024,物理,否
7501,新疆大学,05,05,化学,30,0,568,45258,2024,物理,否
7501,新疆大学,06,06,思想政治,30,0,567,45601,2024,物理,否
7501,新疆大学,07,07,地理,30,0,571,44230,2024,物理,否
7502,新疆师范大学,02,02,不限,30,0,505,107250,2024,物理,否
7502,新疆师范大学,03,03,化学,30,0,500,110000,2024,物理,否
7502,新疆师范大学,04,04,地理,30,0,525,80000,2024,物理,否
7503,新疆农业大学,03,03,不限,30,0,484,147273,2024,物理,否
7503,新疆农业大学,04,04,不限,30,0,506,106700,2024,物理,否
7503,新疆农业大学,06,06,化学,30,0,488,144546,2024,物理,否
7504,中国石油大学(北京)克拉玛依校区,01,01,不限,30,0,573,43545,2024,物理,否
7504,中国石油大学(北京)克拉玛依校区,02,02,化学,30,0,578,41832,2024,物理,否
7505,新疆财经大学,03,03,不限,30,0,506,106700,2024,物理,否
7505,新疆财经大学,04,04,不限,30,0,517,100652,2024,物理,否
7505,新疆财经大学,05,05,化学,30,0,500,110000,2024,物理,否
7505,新疆财经大学,06,06,思想政治,30,0,520,99003,2024,物理,否
7507,昌吉学院,02,02,不限,30,0,499,137048,2024,物理,否
7507,昌吉学院,03,03,化学,30,0,482,148636,2024,物理,否
7508,新疆艺术学院,02,02,不限,30,0,501,109450,2024,物理,否
7509,新疆工程学院,01,01,化学,30,0,484,147273,2024,物理,否
